Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
What is Viberzi? | VIBERZI (eluxadoline) CIV,Content Overview Links,Quick links to subsections of the page.,S,1,Simple link list with no advanced functionality.,https://www.viberzi.com/about-viberzi,content_overview_links,Link overview,No direct match found in the catalog.
What is Viberzi? | VIBERZI (eluxadoline) CIV,What is VIBERZI Section,"Details about VIBERZI, including its purpose and benefits.",M,1,Content-heavy section with potential interactive elements.,https://www.viberzi.com/about-viberzi,what_is_viberzi,Informational section,No direct match found in the catalog.
What is Viberzi? | VIBERZI (eluxadoline) CIV,How VIBERZI Works,Explains the mechanism of action of VIBERZI.,M,1,Requires detailed content and potential animations or diagrams.,https://www.viberzi.com/about-viberzi,viberzi_works,Informational section,No direct match found in the catalog.
What is Viberzi? | VIBERZI (eluxadoline) CIV,Side Effects Section,Lists common side effects and provides warnings.,M,1,Requires clear and accessible presentation of critical information.,https://www.viberzi.com/about-viberzi,side_effects,Informational section,No direct match found in the catalog.
What is Viberzi? | VIBERZI (eluxadoline) CIV,Daily Dosing Section,Information about the recommended dosing schedule.,M,1,Content-heavy section with potential for interactive elements.,https://www.viberzi.com/about-viberzi,daily_dosing,Informational section,No direct match found in the catalog.
What is Viberzi? | VIBERZI (eluxadoline) CIV,Tips for Taking VIBERZI,Provides practical advice for incorporating VIBERZI into daily life.,S,1,Simple textual content with minimal interaction.,https://www.viberzi.com/about-viberzi,tips_for_taking,Tips section,No direct match found in the catalog.
What is Viberzi? | VIBERZI (eluxadoline) CIV,Tips Carousel,Interactive carousel displaying tips for taking VIBERZI.,C,1,Interactive carousel with navigation and animation.,https://www.viberzi.com/about-viberzi,carousel_tips,Carousel,Matched to 'Carousel' in the catalog.
What is Viberzi? | VIBERZI (eluxadoline) CIV,Important Risk Information,Contains critical safety and usage information.,M,1,Requires clear and accessible presentation of critical information.,https://www.viberzi.com/about-viberzi,important_risk_information,Risk information,No direct match found in the catalog.
Site Map | VIBERZI (eluxadoline) CIV,Utility Navigation,Provides quick access to important links and resources.,S,1,Simple navigation links without complex interactions.,https://www.viberzi.com/site-map,global_utility_navigation,Utility strip,No matching block found in AEM catalog.
Site Map | VIBERZI (eluxadoline) CIV,Primary Navigation,Main site navigation for accessing key sections.,M,1,Includes multiple navigation levels and accessibility considerations.,https://www.viberzi.com/site-map,primary_navigation,Main navigation,No matching block found in AEM catalog.
Site Map | VIBERZI (eluxadoline) CIV,Hero Section,Prominent section featuring the site's title or main message.,S,1,Simple static content with styling.,https://www.viberzi.com/site-map,hero_section,Title display,Matched to 'Hero' in AEM catalog.
Site Map | VIBERZI (eluxadoline) CIV,Sitemap Links,Displays a list of links to all major site sections.,M,1,Requires dynamic generation of links and accessibility compliance.,https://www.viberzi.com/site-map,sitemap_links,Link list,No matching block found in AEM catalog.
Site Map | VIBERZI (eluxadoline) CIV,Important Safety Information,Provides critical safety and usage information.,M,1,Includes regulatory compliance and accessibility requirements.,https://www.viberzi.com/site-map,important_safety_information,Safety content,No matching block found in AEM catalog.
Site Map | VIBERZI (eluxadoline) CIV,Footer Links,Contains links to site-wide resources.,S,1,Static content with basic styling.,https://www.viberzi.com/site-map,footer_links,Footer navigation,Matched to 'Footer' in AEM catalog.
Site Map | VIBERZI (eluxadoline) CIV,Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Simple button functionality.,https://www.viberzi.com/site-map,back_to_top_button,Utility button,No matching block found in AEM catalog.
VIBERZI (eluxadoline) CIV | Official Site,Utility Navigation,Provides quick links for prescribing information and patient medication guides.,S,1,The block is primarily static with simple navigation links.,https://www.viberzi.com/,global_utility_navigation,Utility Strip,Focuses on accessibility and link functionality.
VIBERZI (eluxadoline) CIV | Official Site,Primary Navigation,Main navigation for accessing site sections like About IBS-D and Patient Resources.,M,1,Includes dynamic navigation and potential dropdowns.,https://www.viberzi.com/,primary_navigation,Main Navigation,Requires responsive design and accessibility compliance.
VIBERZI (eluxadoline) CIV | Official Site,Hero Section,Prominent section with an image and messaging about VIBERZI.,M,1,Includes visual elements and dynamic content.,https://www.viberzi.com/,hero_section,Hero Banner,May involve animations or transitions.
VIBERZI (eluxadoline) CIV | Official Site,IBS-D Information,Describes IBS-D and symptoms in detail.,S,1,Static content block with informational text.,https://www.viberzi.com/,what_is_ibsd,Informational Content,Focuses on text layout and readability.
VIBERZI (eluxadoline) CIV | Official Site,Provider Discussion Section,Encourages users to discuss symptoms with healthcare providers.,M,1,Incorporates interactive elements and call-to-action cards.,https://www.viberzi.com/,talk_to_provider,Call-to-Action,Highlights healthcare provider engagement.
VIBERZI (eluxadoline) CIV | Official Site,VIBERZI Introduction,Showcases VIBERZI features and benefits.,M,1,Includes visual and textual content with interactive elements.,https://www.viberzi.com/,viberzi_intro,Product Highlights,May integrate dynamic elements for user engagement.
VIBERZI (eluxadoline) CIV | Official Site,Savings and FAQs,Provides savings program details and FAQs.,M,1,Involves tabbed navigation and interactive content.,https://www.viberzi.com/,savings_and_faqs,Tabbed Content,Focuses on user-friendly navigation and quick access.
VIBERZI (eluxadoline) CIV | Official Site,Safety Information,Displays critical safety guidelines for VIBERZI.,S,1,Static content with legal and medical details.,https://www.viberzi.com/,important_safety_information,Safety Content,Ensures compliance with medical and legal standards.
VIBERZI (eluxadoline) CIV | Official Site,Footer Section,Includes links to site policies and legal information.,S,1,Static footer with simple navigation links.,https://www.viberzi.com/,footer,Footer Navigation,Focuses on accessibility and legal compliance.
VIBERZI (eluxadoline) CIV | Official Site,Back to Top Button,Allows users to return to the top of the page quickly.,S,1,Simple utility button with scroll functionality.,https://www.viberzi.com/,back_to_top,Scroll Navigation,"Enhances user navigation experience.  Model suggested ""Utility"" (not an exact catalog name — use query_aem_blocks_catalog)."
