Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Patient Resources | VIBERZI (eluxadoline) CIV,Site Footer,Provides footer navigation and legal information.,S,1,Simple footer implementation with links and legal text.,https://www.viberzi.com/patient-resources,site_footer,Footer navigation,Mapped to the 'Footer' block type in the catalog.,screenshots/blocks/site_footer__default.png
What is Viberzi? | VIBERZI (eluxadoline) CIV,Content Overview Links,Quick links to subsections of the page.,S,1,Simple link list with no advanced functionality.,https://www.viberzi.com/about-viberzi,content_overview_links,Link overview,No direct match found in the catalog.,screenshots/blocks/content_overview_links__default.png
What is Viberzi? | VIBERZI (eluxadoline) CIV,What is VIBERZI Section,"Details about VIBERZI, including its purpose and benefits.",M,1,Content-heavy section with potential interactive elements.,https://www.viberzi.com/about-viberzi,what_is_viberzi,Informational section,No direct match found in the catalog.,screenshots/blocks/what_is_viberzi__default.png
What is Viberzi? | VIBERZI (eluxadoline) CIV,How VIBERZI Works,Explains the mechanism of action of VIBERZI.,M,1,Requires detailed content and potential animations or diagrams.,https://www.viberzi.com/about-viberzi,viberzi_works,Informational section,No direct match found in the catalog.,screenshots/blocks/viberzi_works__default.png
What is Viberzi? | VIBERZI (eluxadoline) CIV,Side Effects Section,Lists common side effects and provides warnings.,M,1,Requires clear and accessible presentation of critical information.,https://www.viberzi.com/about-viberzi,side_effects,Informational section,No direct match found in the catalog.,screenshots/blocks/side_effects__default.png
What is Viberzi? | VIBERZI (eluxadoline) CIV,Daily Dosing Section,Information about the recommended dosing schedule.,M,1,Content-heavy section with potential for interactive elements.,https://www.viberzi.com/about-viberzi,daily_dosing,Informational section,No direct match found in the catalog.,screenshots/blocks/daily_dosing__default.png
What is Viberzi? | VIBERZI (eluxadoline) CIV,Tips for Taking VIBERZI,Provides practical advice for incorporating VIBERZI into daily life.,S,1,Simple textual content with minimal interaction.,https://www.viberzi.com/about-viberzi,tips_for_taking,Tips section,No direct match found in the catalog.,screenshots/blocks/tips_for_taking__default.png
What is Viberzi? | VIBERZI (eluxadoline) CIV,Tips Carousel,Interactive carousel displaying tips for taking VIBERZI.,C,1,Interactive carousel with navigation and animation.,https://www.viberzi.com/about-viberzi,carousel_tips,Carousel,Matched to 'Carousel' in the catalog.,screenshots/blocks/carousel_tips__default.png
What is Viberzi? | VIBERZI (eluxadoline) CIV,Important Risk Information,Contains critical safety and usage information.,M,1,Requires clear and accessible presentation of critical information.,https://www.viberzi.com/about-viberzi,important_risk_information,Risk information,No direct match found in the catalog.,screenshots/blocks/important_risk_information__default.png
Site Map | VIBERZI (eluxadoline) CIV,Sitemap Links,Displays a list of links to all major site sections.,M,1,Requires dynamic generation of links and accessibility compliance.,https://www.viberzi.com/site-map,sitemap_links,Link list,No matching block found in AEM catalog.,screenshots/blocks/sitemap_links__default.png
Site Map | VIBERZI (eluxadoline) CIV,Footer Links,Contains links to site-wide resources.,S,1,Static content with basic styling.,https://www.viberzi.com/site-map,footer_links,Footer navigation,Matched to 'Footer' in AEM catalog.,screenshots/blocks/footer_links__default.png
Site Map | VIBERZI (eluxadoline) CIV,Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Simple button functionality.,https://www.viberzi.com/site-map,back_to_top_button,Utility button,No matching block found in AEM catalog.,screenshots/blocks/back_to_top_button__default.png
VIBERZI (eluxadoline) CIV | Official Site,IBS-D Information,Describes IBS-D and symptoms in detail.,S,1,Static content block with informational text.,https://www.viberzi.com/,what_is_ibsd,Informational Content,Focuses on text layout and readability.,screenshots/blocks/what_is_ibsd__default.png
VIBERZI (eluxadoline) CIV | Official Site,Provider Discussion Section,Encourages users to discuss symptoms with healthcare providers.,M,1,Incorporates interactive elements and call-to-action cards.,https://www.viberzi.com/,talk_to_provider,Call-to-Action,Highlights healthcare provider engagement.,screenshots/blocks/talk_to_provider__default.png
VIBERZI (eluxadoline) CIV | Official Site,VIBERZI Introduction,Showcases VIBERZI features and benefits.,M,1,Includes visual and textual content with interactive elements.,https://www.viberzi.com/,viberzi_intro,Product Highlights,May integrate dynamic elements for user engagement.,screenshots/blocks/viberzi_intro__default.png
VIBERZI (eluxadoline) CIV | Official Site,Savings and FAQs,Provides savings program details and FAQs.,M,1,Involves tabbed navigation and interactive content.,https://www.viberzi.com/,savings_and_faqs,Tabbed Content,Focuses on user-friendly navigation and quick access.,screenshots/blocks/savings_and_faqs__default.png
