Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Independent Educational Grants | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,"Simple, static utility strip with basic links.",https://www.abbvie.com/science/independent-educational-grants.html,global_utility_strip,Utility strip,No exact match in the AEM catalog.
Independent Educational Grants | AbbVie,Primary Navigation,Main site navigation with dropdown menus for exploring site sections.,C,1,Complex navigation structure with dropdowns and potential accessibility requirements.,https://www.abbvie.com/science/independent-educational-grants.html,primary_navigation,Main navigation,No exact match in the AEM catalog.
Independent Educational Grants | AbbVie,Hero Section,Prominent introductory section with a large image and heading.,M,1,Requires responsive design and image handling.,https://www.abbvie.com/science/independent-educational-grants.html,hero_section,Hero,No exact match in the AEM catalog.
Independent Educational Grants | AbbVie,Content Introduction,Introduction to the page content with a title and supporting text.,S,1,Simple text-based content block.,https://www.abbvie.com/science/independent-educational-grants.html,content_intro,Introduction,No exact match in the AEM catalog.
Independent Educational Grants | AbbVie,Card Grid,Displays a grid of cards with images and descriptions for featured content.,M,1,Dynamic grid layout with potential for interactive elements.,https://www.abbvie.com/science/independent-educational-grants.html,card_grid,Card layout,No exact match in the AEM catalog.
Independent Educational Grants | AbbVie,Footer,Footer section with site information and additional navigation links.,S,1,Standard footer implementation with predefined styles.,https://www.abbvie.com/science/independent-educational-grants.html,footer,Footer,Matched to AEM catalog entry.
Commercial | AbbVie,Global Utility Strip,"Provides quick access to contact, subscribe, and group sites.",S,1,Simple navigation links with no advanced functionality.,https://www.abbvie.com/join-us/opportunities/commercial.html,global_utility_strip,Utility strip,No direct mapping found in the AEM catalog.
Commercial | AbbVie,Primary Navigation,Main site navigation including logo and menu.,M,1,Primary navigation typically includes submenus and accessibility considerations.,https://www.abbvie.com/join-us/opportunities/commercial.html,primary_navigation,Main navigation,No direct mapping found in the AEM catalog.
Commercial | AbbVie,Hero Section,Prominent section with a large image and main heading.,M,1,Hero sections often involve responsive design and advanced styling.,https://www.abbvie.com/join-us/opportunities/commercial.html,hero_section,Hero,Mapped to the 'Hero' block in the AEM catalog.
Commercial | AbbVie,CTA Columns,Columns with call-to-action links and descriptions.,M,1,Multiple call-to-action elements require coordination and styling.,https://www.abbvie.com/join-us/opportunities/commercial.html,cta_columns,Call-to-action layout,No direct mapping found in the AEM catalog.
Commercial | AbbVie,Card Grid,Grid of cards highlighting key stories or features.,M,1,Card grids need responsive design and dynamic content handling.,https://www.abbvie.com/join-us/opportunities/commercial.html,card_grid,Card grid,Mapped to the 'Cards' block in the AEM catalog.
Our Leaders | AbbVie,Primary Navigation,Main navigation menu for accessing site sections.,C,1,Complexity due to deep navigation tree and accessibility requirements.,https://www.abbvie.com/who-we-are/our-leaders.html,primary_navigation,Main navigation,No exact match found in AEM catalog.
Our Leaders | AbbVie,Hero Section,Prominent section with a large image and heading.,M,1,Moderate complexity due to visual prominence and styling.,https://www.abbvie.com/who-we-are/our-leaders.html,hero_section,Hero banner,Mapped to 'Hero' block in AEM catalog.
Our Leaders | AbbVie,Leaders Grid,Grid layout displaying leader profiles.,M,1,Moderate complexity due to grid layout and dynamic content.,https://www.abbvie.com/who-we-are/our-leaders.html,leaders_grid,Grid display,No exact match found in AEM catalog.
Our Leaders | AbbVie,Call-to-Action Section,Encourages user actions or navigation to related content.,M,1,Moderate complexity due to interactive elements.,https://www.abbvie.com/who-we-are/our-leaders.html,cta_section,CTA buttons,No exact match found in AEM catalog.
Chicago Cubs | AbbVie,Global Header,Main navigation and branding.,M,1,"Includes navigation and branding, requiring integration across site.",https://www.abbvie.com/who-we-are/brand-partnerships/cubs.html,global_header,Main navigation,No direct match in catalog.
Chicago Cubs | AbbVie,Hero Section,Prominent image and heading for page focus.,M,1,Requires responsive design and accessibility for key visuals.,https://www.abbvie.com/who-we-are/brand-partnerships/cubs.html,hero_section,Hero image,No direct match in catalog.
Chicago Cubs | AbbVie,Primary Navigation,Provides main site navigation links.,C,1,Deep navigation structure with accessibility considerations.,https://www.abbvie.com/who-we-are/brand-partnerships/cubs.html,primary_navigation,Primary navigation,No direct match in catalog.
Chicago Cubs | AbbVie,CTA Grid,Grid of call-to-action buttons and links.,M,1,Interactive elements requiring styling and functionality.,https://www.abbvie.com/who-we-are/brand-partnerships/cubs.html,cta_grid,Call-to-action grid,No direct match in catalog.
Chicago Cubs | AbbVie,Content Section,Main content of the page.,M,1,Includes text and images with potential layout variations.,https://www.abbvie.com/who-we-are/brand-partnerships/cubs.html,content_section,Content display,No direct match in catalog.
Eye Care | AbbVie,Utility Bar,"Displays quick access links for users to navigate to contact, subscription, and group sites.",S,1,Simple navigation links with minimal interactivity.,https://www.abbvie.com/science/areas-of-focus/eye-care.html,global_utility_strip,Utility strip,Consider mapping to a known AEM block for consistent styling and functionality.
Eye Care | AbbVie,Main Navigation,Provides primary navigation for the website with dropdown menus.,M,1,Dropdown menus require accessibility considerations and dynamic content handling.,https://www.abbvie.com/science/areas-of-focus/eye-care.html,primary_navigation,Main navigation,Ensure accessibility compliance and responsiveness for dropdown functionality.
AbbVie&#39;s Code of Conduct | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Minimal implementation complexity for static utility links.,https://www.abbvie.com/who-we-are/operating-with-integrity/abbvies-code-of-conduct.html,global_utility_strip,Utility strip,No direct match found in the AEM catalog.
AbbVie&#39;s Code of Conduct | AbbVie,Primary Navigation,Main site navigation with dropdown menus and links.,C,1,Complexity due to deep hierarchical navigation and accessibility requirements.,https://www.abbvie.com/who-we-are/operating-with-integrity/abbvies-code-of-conduct.html,primary_navigation,Main navigation,No direct match found in the AEM catalog.
AbbVie&#39;s Code of Conduct | AbbVie,Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Simple functionality with minimal implementation effort.,https://www.abbvie.com/who-we-are/operating-with-integrity/abbvies-code-of-conduct.html,back_to_top,Back to top,No direct match found in the AEM catalog.
Research &amp; Development | AbbVie,Global Utility Strip,Provides links and utilities such as contact information and subscription options.,S,1,Simple functionality with basic links and utilities.,https://www.abbvie.com/join-us/opportunities/research-and-development.html,global_utility_strip,Utility strip,No direct match found in the AEM catalog.
Research &amp; Development | AbbVie,Primary Navigation,Main navigation for site structure and user access.,M,1,Dropdown menus and hierarchical structure increase implementation complexity.,https://www.abbvie.com/join-us/opportunities/research-and-development.html,primary_navigation,Main navigation,No direct match found in the AEM catalog.
Research &amp; Development | AbbVie,Card Grid Section,Displays content in a card-like format with images and text in a grid layout.,M,1,Grid layout and responsive design require moderate implementation effort.,https://www.abbvie.com/join-us/opportunities/research-and-development.html,card_grid_section,Content grid,Matched to 'Cards' in the AEM catalog with additional styling and functionality.
Product Quality &amp; Safety | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription links, and group site navigation.",S,1,Simple navigation links with minimal styling.,https://www.abbvie.com/patients/product-quality-and-safety.html,global_utility_strip,Utility strip,No exact match found in catalog.
Product Quality &amp; Safety | AbbVie,Primary Navigation,Enables navigation across primary site sections with dropdown menus.,M,1,Dropdown menus and hierarchical navigation increase scope.,https://www.abbvie.com/patients/product-quality-and-safety.html,primary_navigation,Main navigation,No exact match found in catalog.
Product Quality &amp; Safety | AbbVie,Hero Section,Displays prominent headline and introductory content for the page.,M,1,Hero sections often include dynamic content and styling.,https://www.abbvie.com/patients/product-quality-and-safety.html,hero_section,Hero banner,No exact match found in catalog.
Product Quality &amp; Safety | AbbVie,Content Grid,Structures page content into a grid layout.,M,1,Grid layouts require responsive design and styling.,https://www.abbvie.com/patients/product-quality-and-safety.html,content_grid,Structured grid,No exact match found in catalog.
Product Quality &amp; Safety | AbbVie,Card Grid,Displays a collection of cards with images and text.,M,1,Card layouts often include interactive elements and styling.,https://www.abbvie.com/patients/product-quality-and-safety.html,card_grid,Card collection,No exact match found in catalog.
Product Quality &amp; Safety | AbbVie,Footer,Provides site-wide footer content with navigation and links.,M,1,Footer often integrates with global navigation and includes multiple links.,https://www.abbvie.com/patients/product-quality-and-safety.html,footer,Footer navigation,Matched to catalog entry with styling and scripting support.
Research Publications | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Limited functionality with straightforward accessibility and design requirements.,https://www.abbvie.com/science/publications.html,global_utility_strip,Utility strip,"No direct catalog match found, likely custom implementation."
Research Publications | AbbVie,Primary Header,Displays the main navigation bar with branding and primary site navigation.,C,1,Complex navigation with potential accessibility and responsive design considerations.,https://www.abbvie.com/science/publications.html,primary_header,Main navigation,Requires detailed mapping due to its critical role in site navigation.
Research Publications | AbbVie,Hero Section,Highlights the main message or visual of the page.,M,1,Moderate complexity due to visual design and potential dynamic content.,https://www.abbvie.com/science/publications.html,hero_section,Hero banner,"No direct catalog match found, verify custom styling."
Research Publications | AbbVie,Content Columns,Organizes the main content into multiple columns for better readability.,M,1,Moderate complexity due to layout requirements and responsive behavior.,https://www.abbvie.com/science/publications.html,content_columns,Content layout,May require custom grid system integration.
Research Publications | AbbVie,Card Grid,Displays a grid of cards with images and text for featured content.,M,1,Moderate complexity due to dynamic card generation and responsive behavior.,https://www.abbvie.com/science/publications.html,card_grid,Card layout,Verify dynamic content handling and accessibility.
Areas of Innovation | AbbVie,Global Navigation,Primary navigation menu with links to main sections and dropdowns.,C,1,Complex dropdown structure and accessibility requirements.,https://www.abbvie.com/science/areas-of-innovation.html,global_navigation,Main navigation,Requires robust a11y and dynamic content loading.
Areas of Innovation | AbbVie,Hero Section,Visual and textual introduction highlighting primary focus.,M,1,Visual prominence and responsive design.,https://www.abbvie.com/science/areas-of-innovation.html,hero_section,Hero banner,Focus on visual engagement and responsiveness.
Areas of Innovation | AbbVie,Content Introduction,Overview or introduction providing context for the page.,S,1,Simple text content with minimal styling.,https://www.abbvie.com/science/areas-of-innovation.html,content_intro,Introductory text,Could be mapped to generic text block.
Areas of Innovation | AbbVie,Featured Links,Highlighted links to important sections or pages.,S,1,Static list of links with basic styling.,https://www.abbvie.com/science/areas-of-innovation.html,featured_links,Link list,No specific AEM block found for direct mapping.
Areas of Innovation | AbbVie,Featured Card,Prominent card highlighting a story or feature.,M,1,Includes image and content arrangement.,https://www.abbvie.com/science/areas-of-innovation.html,featured_card,Feature card,Uses card layout for visual emphasis.
Areas of Innovation | AbbVie,Statistics Section,Displays key statistics in a visually engaging format.,M,1,Requires dynamic data visualization.,https://www.abbvie.com/science/areas-of-innovation.html,statistics_section,Dashboard cards,Could involve integration with data sources.
Areas of Innovation | AbbVie,Footer,Footer with links and copyright information.,S,1,Static content with basic styling.,https://www.abbvie.com/science/areas-of-innovation.html,footer,Footer navigation,Commonly used block for page footer.
Operating with Integrity | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Minimal functionality with basic accessibility requirements.,https://www.abbvie.com/who-we-are/operating-with-integrity.html,global_utility_strip,Utility strip,No exact match found in the AEM catalog.
Operating with Integrity | AbbVie,Primary Navigation,Main site navigation with dropdown menus for accessing sections.,M,1,Dropdown menus may require additional accessibility and responsive design considerations.,https://www.abbvie.com/who-we-are/operating-with-integrity.html,primary_navigation,Main navigation,No exact match found in the AEM catalog.
Operating with Integrity | AbbVie,Hero Section,Large visual and textual introduction to the page's main theme.,S,1,Simple visual presentation with limited interactivity.,https://www.abbvie.com/who-we-are/operating-with-integrity.html,hero_section,Hero,Matched to the 'Hero' block in the AEM catalog.
Operating with Integrity | AbbVie,Content Cards,Displays key content in a card format for quick access.,M,1,Requires responsive design and dynamic content handling.,https://www.abbvie.com/who-we-are/operating-with-integrity.html,content_cards,Card layout,Matched to the 'Cards' block in the AEM catalog.
Clinical Trials | AbbVie,Global Header,Provides site-wide branding and navigation.,M,1,"Includes navigation and branding elements, requiring CSS and JavaScript integration.",https://www.abbvie.com/science/clinical-trials.html,global_header,Primary navigation,Matches 'Header' from the catalog.
Clinical Trials | AbbVie,Primary Navigation,Main navigation menu with links to key sections.,M,1,Complex navigation structure with potential submenus.,https://www.abbvie.com/science/clinical-trials.html,primary_navigation,Main navigation,No exact match in the catalog.
Clinical Trials | AbbVie,Hero Section,Displays a prominent image and introductory text.,M,1,Requires integration of visual components and responsive design.,https://www.abbvie.com/science/clinical-trials.html,hero_section,Hero banner,Matches 'Hero' from the catalog.
Clinical Trials | AbbVie,Science Section,Highlights science-related content with links to detailed pages.,M,1,Involves dynamic content and potential interactivity.,https://www.abbvie.com/science/clinical-trials.html,science_section,Content section,No exact match in the catalog.
Clinical Trials | AbbVie,Footer,Provides additional navigation and site information.,M,1,Involves dynamic content and styling.,https://www.abbvie.com/science/clinical-trials.html,footer,Footer navigation,Matches 'Footer' from the catalog.
"Shaping the future of science, together | AbbVie",Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Basic functionality requiring minimal interaction or styling.,https://www.abbvie.com/science/our-people.html,global_utility_strip,Utility strip,No direct match found in AEM catalog.
"Shaping the future of science, together | AbbVie",Primary Navigation,Main navigation menu for site sections and pages.,M,1,Moderate complexity due to potential deep navigation hierarchies.,https://www.abbvie.com/science/our-people.html,primary_navigation,Main navigation,No direct match found in AEM catalog.
"Shaping the future of science, together | AbbVie",Site Footer,Displays footer content with navigation and legal information.,S,1,Simple styling and fragment loading.,https://www.abbvie.com/science/our-people.html,footer,Footer,Matched to catalog entry 'Footer'.
"Shaping the future of science, together | AbbVie",Back to Top Button,Provides a button to quickly scroll back to the top of the page.,S,1,Simple functionality with minimal styling or interaction.,https://www.abbvie.com/science/our-people.html,back_to_top,Button,No direct match found in AEM catalog.
Neuroscience | AbbVie,Global Navigation,Provides primary website navigation.,C,1,Includes multiple subsections and accessibility features.,https://www.abbvie.com/science/areas-of-focus/neuroscience.html,global_navigation,Main navigation,Complex navigation structure not found in catalog.
Neuroscience | AbbVie,Hero Section,Displays a prominent introductory section with a large image and key message.,M,1,Requires styling and scripting for layout and interactivity.,https://www.abbvie.com/science/areas-of-focus/neuroscience.html,hero_section,Hero layout,Matched with catalog 'Hero' block.
Neuroscience | AbbVie,Science Section,Highlights science-related content and links.,M,1,Potentially includes dynamic content and styled links.,https://www.abbvie.com/science/areas-of-focus/neuroscience.html,science_section,Content showcase,Not found in catalog.
Neuroscience | AbbVie,Who We Are Section,Provides information about organizational principles and values.,S,1,Static content with basic styling.,https://www.abbvie.com/science/areas-of-focus/neuroscience.html,who_we_are_section,Informational section,Not found in catalog.
Neuroscience | AbbVie,Footer,Displays footer content with navigation and site information.,M,1,Includes multiple links and accessibility considerations.,https://www.abbvie.com/science/areas-of-focus/neuroscience.html,footer,Footer navigation,Matched with catalog 'Footer' block.
Who We Are | AbbVie,Global Navigation,Provides primary navigation and access to site sections.,M,1,Complexity due to potential deep navigation and accessibility requirements.,https://www.abbvie.com/who-we-are.html,global_navigation,Main navigation,No direct match in AEM catalog.
Who We Are | AbbVie,Hero Section,Highlights the main theme of the page with a large image and heading.,M,1,Requires styling and scripting for hero presentation.,https://www.abbvie.com/who-we-are.html,hero_section,Hero banner,Matched to 'Hero' in AEM catalog.
Who We Are | AbbVie,Who We Are Text,Describes the mission and vision of AbbVie.,S,1,Simple text content block.,https://www.abbvie.com/who-we-are.html,who_we_are_text,Text content,No direct match in AEM catalog.
Who We Are | AbbVie,Who We Are Button,Provides a call-to-action button linking to the Who We Are page.,S,1,Basic button functionality.,https://www.abbvie.com/who-we-are.html,who_we_are_button,Button,No direct match in AEM catalog.
Who We Are | AbbVie,Link List,Displays a list of related links for further exploration.,S,1,Simple list of links.,https://www.abbvie.com/who-we-are.html,link_list,Link list,No direct match in AEM catalog.
Who We Are | AbbVie,Featured Card,Highlights a featured story or article.,M,1,Requires grid layout and responsive design.,https://www.abbvie.com/who-we-are.html,featured_card,Featured card,Matched to 'Cards' in AEM catalog.
Who We Are | AbbVie,Recognition Dashboard,Displays key recognition statistics.,C,1,Complex data visualization and interactivity.,https://www.abbvie.com/who-we-are.html,recognition_dashboard,Dashboard,No direct match in AEM catalog.
Operations | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",M,1,Includes navigation and quick access elements.,https://www.abbvie.com/join-us/opportunities/operations.html,global_utility_strip,Utility strip,No exact match found in the AEM catalog.
Operations | AbbVie,Primary Navigation,"Main navigation menu for the site, including dropdowns for major sections.",C,1,Deep menu structure with dropdowns and potential accessibility requirements.,https://www.abbvie.com/join-us/opportunities/operations.html,primary_navigation,Main navigation,No exact match found in the AEM catalog.
Operations | AbbVie,Hero Section,Highlights the main theme of the page with a large image and headline.,M,1,Includes prominent visual elements and text.,https://www.abbvie.com/join-us/opportunities/operations.html,hero_section,Hero banner,No exact match found in the AEM catalog.
Operations | AbbVie,Call-to-Action Columns,Displays multiple CTAs in a column layout to guide users to key areas.,M,1,Multiple interactive elements with specific layout requirements.,https://www.abbvie.com/join-us/opportunities/operations.html,cta_columns,CTA layout,No exact match found in the AEM catalog.
Operations | AbbVie,Card Grid,Organizes content into cards for easy navigation and readability.,M,1,Content organization with individual card styling.,https://www.abbvie.com/join-us/opportunities/operations.html,card_grid,Content cards,No exact match found in the AEM catalog.
Operations | AbbVie,Footer,"Contains site-wide links, contact information, and other footer content.",M,1,"Includes links, contact details, and styling for background and fonts.",https://www.abbvie.com/join-us/opportunities/operations.html,footer,Site footer,Mapped to the catalog entry for 'Footer'.
Patient Access and Affordability | AbbVie,Utility Strip,"Provides quick links to contact, subscription, and group sites.",S,1,Simple navigation with limited interactions.,https://www.abbvie.com/patients/patient-support.html,global_utility_strip,Utility strip,No exact match in AEM catalog.
Patient Access and Affordability | AbbVie,Primary Navigation,Main navigation for exploring site sections.,M,1,Dropdown menus and multi-level navigation.,https://www.abbvie.com/patients/patient-support.html,primary_navigation,Main navigation,No exact match in AEM catalog.
Patient Access and Affordability | AbbVie,Card Grid,Displays a grid layout of cards highlighting content.,M,1,Grid layout with interactive elements.,https://www.abbvie.com/patients/patient-support.html,card_grid_section,Card grid,No exact match in AEM catalog.
Immunology | AbbVie,Primary Navigation,Provides access to key site sections via a navigation bar.,M,1,Requires integration of deep navigation structures and accessibility features.,https://www.abbvie.com/science/areas-of-focus/immunology.html,primary_navigation,Main navigation,No matching catalog entry found.
Immunology | AbbVie,Hero Section,Displays a large image and key message prominently.,S,1,Simple layout with basic styling and positioning.,https://www.abbvie.com/science/areas-of-focus/immunology.html,hero_section,Hero banner,Matched to catalog block 'Hero'.
Immunology | AbbVie,Who We Are Section,Highlights company identity and mission-related content.,M,1,Includes structured content with links and descriptions.,https://www.abbvie.com/science/areas-of-focus/immunology.html,who_we_are_section,Content highlight,No matching catalog entry found.
Immunology | AbbVie,Science Section,Showcases scientific achievements and focus areas.,M,1,Requires structured content presentation and links.,https://www.abbvie.com/science/areas-of-focus/immunology.html,science_section,Content highlight,No matching catalog entry found.
