Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Our R&amp;D Leaders | AbbVie,Primary Header,Displays the main site navigation and branding elements.,M,6,Includes navigation with potential dropdowns and branding.,https://www.abbvie.com/science/our-people/our-rd-leaders.html,primary_header,Main navigation,Check for deep navigation and accessibility compliance.,screenshots/blocks/primary_header__default.png
Our R&amp;D Leaders | AbbVie,Prose Columns,Presents detailed textual information in a columnar layout.,S,4,Static text layout with minimal interactivity.,https://www.abbvie.com/science/our-people/our-rd-leaders.html,prose_columns,Textual content,Focus on typography and readability.,screenshots/blocks/prose_columns__default.png
Partnering Days | AbbVie,Main Call-to-Action,Encourages users to explore the 'Who We Are' section.,S,3,Simple call-to-action functionality.,https://www.abbvie.com/science/partner-with-us/partnering-days.html,main_cta,Subscribe/Action button,No direct match in AEM catalog.,screenshots/blocks/main_cta__default.png
Partnering Days | AbbVie,Dashboard Cards,Highlights key metrics and recognitions.,M,10,Requires dynamic data display and styling.,https://www.abbvie.com/science/partner-with-us/partnering-days.html,dashboard_cards,Metrics cards,No direct match in AEM catalog.,screenshots/blocks/dashboard_cards__default.png
Patient-Focused Drug Development | AbbVie,Main Content,The main content area with detailed information and links.,M,55,Standard content area with potential for nested elements.,https://www.abbvie.com/science/areas-of-innovation/patient-focused-drug-development.html,main_content,Content,No exact match in AEM catalog.,screenshots/blocks/main_content__default.png
Patient-Focused Drug Development | AbbVie,Call-to-Action Buttons,Buttons encouraging user actions such as navigation or form submissions.,S,8,Simple button elements without advanced interactions.,https://www.abbvie.com/science/areas-of-innovation/patient-focused-drug-development.html,cta_buttons,Buttons,No exact match in AEM catalog.,screenshots/blocks/cta_buttons__default.png
Independent Educational Grants | AbbVie,Content Introduction,Introduction to the page content with a title and supporting text.,S,26,Simple text-based content block.,https://www.abbvie.com/science/independent-educational-grants.html,content_intro,Introduction,No exact match in the AEM catalog.,screenshots/blocks/content_intro__default.png
Independent Educational Grants | AbbVie,Footer,Footer section with site information and additional navigation links.,S,40,Standard footer implementation with predefined styles.,https://www.abbvie.com/science/independent-educational-grants.html,footer,Footer,Matched to AEM catalog entry.,screenshots/blocks/footer__default.png
Commercial | AbbVie,CTA Columns,Columns with call-to-action links and descriptions.,M,4,Multiple call-to-action elements require coordination and styling.,https://www.abbvie.com/join-us/opportunities/commercial.html,cta_columns,Call-to-action layout,No direct mapping found in the AEM catalog.,screenshots/blocks/cta_columns__default.png
Our Leaders | AbbVie,Leaders Grid,Grid layout displaying leader profiles.,M,1,Moderate complexity due to grid layout and dynamic content.,https://www.abbvie.com/who-we-are/our-leaders.html,leaders_grid,Grid display,No exact match found in AEM catalog.,screenshots/blocks/leaders_grid__default.png
Our Leaders | AbbVie,Call-to-Action Section,Encourages user actions or navigation to related content.,M,6,Moderate complexity due to interactive elements.,https://www.abbvie.com/who-we-are/our-leaders.html,cta_section,CTA buttons,No exact match found in AEM catalog.,screenshots/blocks/cta_section__default.png
Chicago Cubs | AbbVie,Global Header,Main navigation and branding.,M,46,"Includes navigation and branding, requiring integration across site.",https://www.abbvie.com/who-we-are/brand-partnerships/cubs.html,global_header,Main navigation,No direct match in catalog.,screenshots/blocks/global_header__default.png
Chicago Cubs | AbbVie,CTA Grid,Grid of call-to-action buttons and links.,M,11,Interactive elements requiring styling and functionality.,https://www.abbvie.com/who-we-are/brand-partnerships/cubs.html,cta_grid,Call-to-action grid,No direct match in catalog.,screenshots/blocks/cta_grid__default.png
Chicago Cubs | AbbVie,Content Section,Main content of the page.,M,9,Includes text and images with potential layout variations.,https://www.abbvie.com/who-we-are/brand-partnerships/cubs.html,content_section,Content display,No direct match in catalog.,screenshots/blocks/content_section__default.png
Research &amp; Development | AbbVie,Card Grid Section,Displays content in a card-like format with images and text in a grid layout.,M,5,Grid layout and responsive design require moderate implementation effort.,https://www.abbvie.com/join-us/opportunities/research-and-development.html,card_grid_section,Content grid,Matched to 'Cards' in the AEM catalog with additional styling and functionality.,screenshots/blocks/card_grid_section__default.png
Research Publications | AbbVie,Content Columns,Organizes the main content into multiple columns for better readability.,M,8,Moderate complexity due to layout requirements and responsive behavior.,https://www.abbvie.com/science/publications.html,content_columns,Content layout,May require custom grid system integration.,screenshots/blocks/content_columns__default.png
Areas of Innovation | AbbVie,Global Navigation,Primary navigation menu with links to main sections and dropdowns.,C,38,Complex dropdown structure and accessibility requirements.,https://www.abbvie.com/science/areas-of-innovation.html,global_navigation,Main navigation,Requires robust a11y and dynamic content loading.,screenshots/blocks/global_navigation__default.png
Areas of Innovation | AbbVie,Featured Links,Highlighted links to important sections or pages.,S,1,Static list of links with basic styling.,https://www.abbvie.com/science/areas-of-innovation.html,featured_links,Link list,No specific AEM block found for direct mapping.,screenshots/blocks/featured_links__default.png
Areas of Innovation | AbbVie,Featured Card,Prominent card highlighting a story or feature.,M,5,Includes image and content arrangement.,https://www.abbvie.com/science/areas-of-innovation.html,featured_card,Feature card,Uses card layout for visual emphasis.,screenshots/blocks/featured_card__default.png
Areas of Innovation | AbbVie,Statistics Section,Displays key statistics in a visually engaging format.,M,1,Requires dynamic data visualization.,https://www.abbvie.com/science/areas-of-innovation.html,statistics_section,Dashboard cards,Could involve integration with data sources.,screenshots/blocks/statistics_section__default.png
Operating with Integrity | AbbVie,Content Cards,Displays key content in a card format for quick access.,M,16,Requires responsive design and dynamic content handling.,https://www.abbvie.com/who-we-are/operating-with-integrity.html,content_cards,Card layout,Matched to the 'Cards' block in the AEM catalog.,screenshots/blocks/content_cards__default.png
Clinical Trials | AbbVie,Science Section,Highlights science-related content with links to detailed pages.,M,12,Involves dynamic content and potential interactivity.,https://www.abbvie.com/science/clinical-trials.html,science_section,Content section,No exact match in the catalog.,screenshots/blocks/science_section__default.png
Neuroscience | AbbVie,Who We Are Section,Provides information about organizational principles and values.,S,10,Static content with basic styling.,https://www.abbvie.com/science/areas-of-focus/neuroscience.html,who_we_are_section,Informational section,Not found in catalog.,screenshots/blocks/who_we_are_section__default.png
Who We Are | AbbVie,Who We Are Text,Describes the mission and vision of AbbVie.,S,1,Simple text content block.,https://www.abbvie.com/who-we-are.html,who_we_are_text,Text content,No direct match in AEM catalog.,screenshots/blocks/who_we_are_text__default.png
Who We Are | AbbVie,Who We Are Button,Provides a call-to-action button linking to the Who We Are page.,S,1,Basic button functionality.,https://www.abbvie.com/who-we-are.html,who_we_are_button,Button,No direct match in AEM catalog.,screenshots/blocks/who_we_are_button__default.png
Who We Are | AbbVie,Link List,Displays a list of related links for further exploration.,S,8,Simple list of links.,https://www.abbvie.com/who-we-are.html,link_list,Link list,No direct match in AEM catalog.,screenshots/blocks/link_list__default.png
Who We Are | AbbVie,Recognition Dashboard,Displays key recognition statistics.,C,1,Complex data visualization and interactivity.,https://www.abbvie.com/who-we-are.html,recognition_dashboard,Dashboard,No direct match in AEM catalog.,screenshots/blocks/recognition_dashboard__default.png
AbbVie Ventures | AbbVie,Content Section 1,Provides an overview of 'Who We Are' with links and highlights.,M,5,"Content with links and highlights, requiring layout considerations.",https://www.abbvie.com/science/partner-with-us/abbvie-ventures.html,content_section_1,Content overview,No matching catalog entry found.,screenshots/blocks/content_section_1__default.png
AbbVie Ventures | AbbVie,Content Section 2,Displays a featured story with an image and description.,M,5,Image and text layout with potential interactivity.,https://www.abbvie.com/science/partner-with-us/abbvie-ventures.html,content_section_2,Featured story,No matching catalog entry found.,screenshots/blocks/content_section_2__default.png
Key Facts | AbbVie,Key Facts Section,"Highlights key facts about the organization, including metrics and recognitions.",M,1,Involves dynamic content and layout considerations.,https://www.abbvie.com/who-we-are/key-facts.html,key_facts_section,Metrics and recognitions display,Not matched to a specific AEM block catalog entry.,screenshots/blocks/key_facts_section__default.png
Key Facts | AbbVie,Related Links,Provides links to related pages and resources.,S,6,Simple list of links with minimal interaction.,https://www.abbvie.com/who-we-are/key-facts.html,related_links,Link list,Not matched to a specific AEM block catalog entry.,screenshots/blocks/related_links__default.png
Opportunities | AbbVie,Patient Resources,Provides resources and information for patients.,M,7,Includes navigation elements and accessibility considerations.,https://www.abbvie.com/join-us/opportunities.html,patients_section,Support and information,May require frequent updates based on regulatory changes.,screenshots/blocks/patients_section__default.png
Partner with Us | AbbVie,Card Teasers,Displays content cards with images and descriptions.,M,2,Medium scope due to image handling and interactive descriptions.,https://www.abbvie.com/science/partner-with-us.html,card_teasers,Content cards,No equivalent block found in the AEM catalog.,screenshots/blocks/card_teasers__default.png
Patient Assistance | AbbVie,Primary Content,Displays the main textual content of the page.,M,3,Includes text and links with potential for dynamic content.,https://www.abbvie.com/patients/patient-support/patient-assistance.html,primary_content,Text content,No exact match in the catalog.,screenshots/blocks/primary_content__default.png
Patient Assistance | AbbVie,CTA Button,Encourages user navigation through a call-to-action.,S,8,Simple button functionality with minimal styling.,https://www.abbvie.com/patients/patient-support/patient-assistance.html,cta_button,Button,No exact match in the catalog.,screenshots/blocks/cta_button__default.png
Responsible Supply Chain | AbbVie,Content Card Grid,Displays a grid of content cards with images and text.,M,2,Moderate complexity due to grid layout and responsive design.,https://www.abbvie.com/who-we-are/operating-with-integrity/responsible-supply-chain.html,content_card_grid,Card grid,Matched to 'Cards' in AEM catalog.,screenshots/blocks/content_card_grid__default.png
Protecting Human Rights and Workplace Safety | AbbVie,Featured Story Card,Highlights a specific story with an image and description.,M,4,Moderate complexity due to grid layout and image handling.,https://www.abbvie.com/who-we-are/operating-with-integrity/protecting-human-rights-and-workplace-safety.html,featured_story_card,Featured story,Matched to 'Cards' in AEM catalog.,screenshots/blocks/featured_story_card__default.png
Protecting Human Rights and Workplace Safety | AbbVie,Recognition Stats,Displays statistics or achievements related to recognition.,S,1,Simple data presentation.,https://www.abbvie.com/who-we-are/operating-with-integrity/protecting-human-rights-and-workplace-safety.html,recognition_stats,Statistics,No direct match found in AEM catalog.,screenshots/blocks/recognition_stats__default.png
A History of Impact | AbbVie,Milestones Timeline,Showcases milestones in a timeline format.,C,1,Requires dynamic content and detailed styling.,https://www.abbvie.com/landing/a-history-of-impact.html,milestones_timeline,Interactive timeline,May include animations or dynamic data fetching.,screenshots/blocks/milestones_timeline__default.png
Benefits | AbbVie,Benefits Overview,Provides an overview of employee benefits.,S,1,Simple static content display.,https://www.abbvie.com/join-us/life-at-abbvie/benefits.html,benefits_overview,Text overview,No exact match in the catalog.,screenshots/blocks/benefits_overview__default.png
Benefits | AbbVie,Featured Story,Highlights a key story or profile.,M,3,Includes dynamic content and layout considerations.,https://www.abbvie.com/join-us/life-at-abbvie/benefits.html,featured_story,Featured card,No exact match in the catalog.,screenshots/blocks/featured_story__default.png
Benefits | AbbVie,Recognition Highlight,Showcases achievements and recognitions.,S,1,Focuses on static content with minimal interactivity.,https://www.abbvie.com/join-us/life-at-abbvie/benefits.html,recognition_highlight,Highlight card,No exact match in the catalog.,screenshots/blocks/recognition_highlight__default.png
"Equity, Equality, Diversity &amp; Inclusion | AbbVie",Main Content Columns,"Columns displaying key information, links, and visuals.",M,1,Structured layout with multiple content areas.,https://www.abbvie.com/who-we-are/our-principles/equity-equality-inclusion-diversity.html,main_content_columns,Content columns,No direct mapping found in catalog.,screenshots/blocks/main_content_columns__default.png
How to Apply | AbbVie,Footer Links,Footer section with navigation and utility links.,M,5,Includes dynamic content fetching and styling.,https://www.abbvie.com/science/independent-educational-grants/how-to-apply.html,footer_links,Footer navigation,Matched to catalog entry for 'Footer'.,screenshots/blocks/footer_links__default.png
Brand Partnerships | AbbVie,Content Column One,Displays introductory text and a button linking to more information.,S,1,Simple text and button implementation.,https://www.abbvie.com/who-we-are/brand-partnerships.html,content_column_one,Content column,No exact match found in the catalog.,screenshots/blocks/content_column_one__default.png
Brand Partnerships | AbbVie,Content Column Two,Highlights a featured story with an image and description.,M,1,Combines text and image with layout considerations.,https://www.abbvie.com/who-we-are/brand-partnerships.html,content_column_two,Featured story,No exact match found in the catalog.,screenshots/blocks/content_column_two__default.png
Areas of Focus | AbbVie,Areas of Focus Section,Highlights specific areas of focus with links and descriptions.,M,1,Includes links and descriptions which may require custom styling or interactivity.,https://www.abbvie.com/science/areas-of-focus.html,areas_of_focus_section,Focus area highlights,No direct mapping found in the current AEM catalog.,screenshots/blocks/areas_of_focus_section__default.png
How AbbVie makes medications more accessible | AbbVie,Main Content Introduction,Displays introductory text and links summarizing the page.,M,4,Moderate scope with text and link formatting.,https://www.abbvie.com/who-we-are/our-stories/living-with-an-illness.html,main_content_intro,Introductory section,Could be enhanced with dynamic content or personalization.,screenshots/blocks/main_content_intro__default.png
How AbbVie makes medications more accessible | AbbVie,Main CTA Button,Primary call-to-action button for page navigation.,S,1,Simple button functionality with potential styling.,https://www.abbvie.com/who-we-are/our-stories/living-with-an-illness.html,main_cta_button,Call-to-action,Ensure clear labeling and accessibility for all users.,screenshots/blocks/main_cta_button__default.png
How AbbVie makes medications more accessible | AbbVie,Featured Card Grid,Grid layout displaying featured stories or sections.,C,1,Complex layout with potential for interactive elements.,https://www.abbvie.com/who-we-are/our-stories/living-with-an-illness.html,featured_card_grid,Card grid,May require responsive design and dynamic content loading.,screenshots/blocks/featured_card_grid__default.png
Request Types | AbbVie,Main Content Section,"Contains the primary content of the page, including text and links.",M,2,Moderate complexity due to content depth and styling.,https://www.abbvie.com/science/independent-educational-grants/request-types.html,main_content_section,Content area,No matching block found in the AEM catalog.,screenshots/blocks/main_content_section__default.png
Therapeutic Modalities &amp; Platforms | AbbVie,Main Navigation,Provides site-wide navigation links.,M,3,Depth of navigation and accessibility considerations.,https://www.abbvie.com/science/areas-of-innovation/therapeutic-modalities-and-platforms.html,navigation_menu,Primary navigation,No direct match found in the catalog.,screenshots/blocks/navigation_menu__default.png
Contact Center | AbbVie,Who We Are CTA,Highlights the 'Who We Are' section with a call-to-action button.,S,1,Simple static call-to-action element.,https://www.abbvie.com/contact-center.html,who_we_are_cta,CTA,No direct match found in the AEM catalog.,screenshots/blocks/who_we_are_cta__default.png
Contact Center | AbbVie,Science CTA,Highlights the 'Science' section with a call-to-action button.,S,1,Simple static call-to-action element.,https://www.abbvie.com/contact-center.html,science_cta,CTA,No direct match found in the AEM catalog.,screenshots/blocks/science_cta__default.png
Robert A. Michael | AbbVie,About Section,Provides an overview of the organization's mission and values.,S,1,Simple text content presentation.,https://www.abbvie.com/who-we-are/our-leaders/robert-michael.html,about_section,Text overview,No exact match found in the AEM blocks catalog.,screenshots/blocks/about_section__default.png
Our Commitment to Ethical and Responsible Use of Animals in Research | AbbVie,Main Navigation,The main navigation menu with dropdowns and links to various sections.,M,10,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.abbvie.com/who-we-are/our-principles/positions-views/our-commitment-to-ethical-and-responsible-use-of-animals-in-research.html,main_navigation,default,templateIds: tpl_80,screenshots/blocks/main_navigation__default.png
Supplier Resources | AbbVie,Card Grid Highlights,Displays key highlights or stories in a card format.,M,1,Responsive grid layout with styled cards.,https://www.abbvie.com/who-we-are/operating-with-integrity/responsible-supply-chain/supplier-resources.html,card_grid_highlights,Card grid,Matched to 'Cards' in AEM catalog.,screenshots/blocks/card_grid_highlights__default.png
Supplier Resources | AbbVie,Dashboard Facts,Showcases key facts or statistics in a dashboard style.,M,4,Dashboard layout with statistical data presentation.,https://www.abbvie.com/who-we-are/operating-with-integrity/responsible-supply-chain/supplier-resources.html,dashboard_facts,Dashboard statistics,No direct match found in the AEM catalog.,screenshots/blocks/dashboard_facts__default.png
Jeffrey R. Stewart | AbbVie,Profile Card,Card highlighting a profile with image and description.,M,1,Involves layout and responsive design.,https://www.abbvie.com/who-we-are/our-leaders/jeffrey-stewart.html,profile_card,Profile display,Ensure proper alignment and visual hierarchy.,screenshots/blocks/profile_card__default.png
Jeffrey R. Stewart | AbbVie,Data Highlight,Section showcasing key statistics or achievements.,M,2,Requires dynamic data integration and visual representation.,https://www.abbvie.com/who-we-are/our-leaders/jeffrey-stewart.html,data_highlight,Statistical showcase,Focus on graphical representation for clarity.,screenshots/blocks/data_highlight__default.png
Lithuania | AbbVie,Content Section: Who We Are,Provides information about the organization and its principles.,S,1,Simple content presentation.,https://www.abbvie.com/contact-center/locations/lithuania.html,content_section_who_we_are,Content,No matching catalog entry.,screenshots/blocks/content_section_who_we_are__default.png
Lithuania | AbbVie,Content Section: Science,Details the organization's scientific efforts and innovations.,S,1,Simple content presentation.,https://www.abbvie.com/contact-center/locations/lithuania.html,content_section_science,Content,No matching catalog entry.,screenshots/blocks/content_section_science__default.png
Lithuania | AbbVie,Content Section: Patients,Focuses on patient support and related services.,S,1,Simple content presentation.,https://www.abbvie.com/contact-center/locations/lithuania.html,content_section_patients,Content,No matching catalog entry.,screenshots/blocks/content_section_patients__default.png
Lithuania | AbbVie,Footer Navigation,Provides links to important site sections and legal information.,M,8,Moderate complexity due to multiple links and potential dynamic updates.,https://www.abbvie.com/contact-center/locations/lithuania.html,footer_navigation,Footer navigation,No matching catalog entry.,screenshots/blocks/footer_navigation__default.png
An Innovative Approach to Improve Maternal Health | AbbVie,Story Cards,Displays featured stories or articles in a card format with images and brief descriptions.,M,3,Involves grid layout and responsive design for dynamic content presentation.,https://www.abbvie.com/who-we-are/our-stories/an-innovative-approach-to-improve-maternal-health.html,story_cards,Content Cards,Matched to 'Cards' in AEM catalog.,screenshots/blocks/story_cards__default.png
Serbia | AbbVie,Content Section 3,Contains information about 'Patients' with links and descriptions.,S,2,Simple informational content.,https://www.abbvie.com/contact-center/locations/serbia.html,content_section_3,Static content,No exact match found in AEM catalog.,screenshots/blocks/content_section_3__default.png
Resources | AbbVie,Content Cards Grid,Displays a grid of content cards with images and descriptions.,M,1,Requires responsive layout and dynamic content handling.,https://www.abbvie.com/sustainability/environmental-social-and-governance/resources.html,content_cards_grid,Card grid,Matched to catalog entry 'Cards'.,screenshots/blocks/content_cards_grid__default.png
Perry C. Siatis | AbbVie,Footer Section,Displays the site footer with additional navigation and information.,M,8,Footer with fragment fetching and styling.,https://www.abbvie.com/who-we-are/our-leaders/perry-siatis.html,footer_section,Footer,Matched with 'Footer' from AEM catalog.,screenshots/blocks/footer_section__default.png
Tunisia | AbbVie,Utility Bar,Provides global utility links above primary navigation.,S,1,Simple layout with limited interactivity.,https://www.abbvie.com/contact-center/locations/tunisia.html,header_utility_strip,Utility strip,Matches 'Header' block in catalog.,screenshots/blocks/header_utility_strip__default.png
Tunisia | AbbVie,Primary Navigation,Facilitates site navigation with branding and primary IA.,M,1,Includes navigation patterns like mega-menu.,https://www.abbvie.com/contact-center/locations/tunisia.html,header_primary_navigation,Main navigation,Matches 'Header' block in catalog.,screenshots/blocks/header_primary_navigation__default.png
Tunisia | AbbVie,Site Search,Implements a search feature within the site header.,M,3,Interactive search with results display.,https://www.abbvie.com/contact-center/locations/tunisia.html,site_search,Search functionality,Matches 'Search' block in catalog.,screenshots/blocks/site_search__default.png
Tunisia | AbbVie,Cookie Preferences,Manages cookie consent and preferences.,M,2,Client-side injection and preference management.,https://www.abbvie.com/contact-center/locations/tunisia.html,cookie_preferences_entry,Cookie preferences,No direct match in catalog.,screenshots/blocks/cookie_preferences_entry__default.png
Latvia | AbbVie,Content Call-to-Actions,Features call-to-action buttons and links for key sections.,S,1,Simple functionality with limited scope.,https://www.abbvie.com/contact-center/locations/latvia.html,main_content_ctas,Subscribe/CTA,No direct mapping found in AEM catalog.,screenshots/blocks/main_content_ctas__default.png
Postdoctoral Program | AbbVie,Content Highlight,Showcases key content or features with images and descriptions.,M,2,Highlighting content requires visual emphasis and responsive design.,https://www.abbvie.com/join-us/postdoctoral-program.html,content_highlight,Content showcase,No matching block in catalog.,screenshots/blocks/content_highlight__default.png
Not good enough: behind the drive to give cancer patients more time | AbbVie,Story Cards Grid,"Displays a grid of story cards with images, titles, and descriptions.",M,2,Grid layout and responsive design considerations.,https://www.abbvie.com/who-we-are/our-stories/not-good-enough-behind-the-drive-to-give-cancer-patients-more-time.html,story_cards_grid,Story cards,Mapped to 'Cards' block type based on description.,screenshots/blocks/story_cards_grid__default.png
Demetris Crum | AbbVie,Profiles Card Grid,Displays profiles and related stories in a card format.,M,1,"Card layout with images and text, requiring grid responsiveness.",https://www.abbvie.com/who-we-are/our-leaders/demetris-crum.html,card_grid_profiles,Profiles grid,Mapped to 'Cards' in the AEM catalog.,screenshots/blocks/card_grid_profiles__default.png
"BTK protein: the good, the bad and the ugly | AbbVie",Main Story,Displays the primary content or article of the page.,M,2,Medium complexity due to potential rich media and interactive elements.,https://www.abbvie.com/who-we-are/our-stories/btk-protein-good-bad-and-ugly.html,main_story,Article content,No direct match in catalog for this block.,screenshots/blocks/main_story__default.png
"BTK protein: the good, the bad and the ugly | AbbVie",Additional Links,Provides extra navigation or related links for further exploration.,S,1,Simple list of links without advanced functionality.,https://www.abbvie.com/who-we-are/our-stories/btk-protein-good-bad-and-ugly.html,additional_links,Related links,No direct match in catalog for this block.,screenshots/blocks/additional_links__default.png
The power of love in IBD | AbbVie,Call to Action,Encourages users to explore more about the topic.,S,1,Single button with a link.,https://www.abbvie.com/who-we-are/our-stories/the-power-love-in-ibd.html,call_to_action,Button,Consider reusing AEM CTA patterns.,screenshots/blocks/call_to_action__default.png
The power of love in IBD | AbbVie,Dashboard Card,Displays key metrics or highlights.,M,2,Card layout with dynamic data.,https://www.abbvie.com/who-we-are/our-stories/the-power-love-in-ibd.html,dashboard_card,Informational card,No direct match in the catalog.,screenshots/blocks/dashboard_card__default.png
Dave Purdue | AbbVie,Lead Content,Primary content area introducing the page's main topic.,M,4,Content area with potential integration of media or text components.,https://www.abbvie.com/who-we-are/our-leaders/dave-purdue.html,lead_content,Lead content,No matching catalog entry found.,screenshots/blocks/lead_content__default.png
Hepatitis C: the mysterious virus that met its match | AbbVie,Card Grid Teasers,Shows a grid of cards with teaser content.,M,1,Requires dynamic data binding for teaser content.,https://www.abbvie.com/who-we-are/our-stories/hepatitis-c-mysterious-virus-that-met-its-match.html,card_grid_teasers,Content teaser grid,No matching catalog entry found.,screenshots/blocks/card_grid_teasers__default.png
Day in the Life: Meet a Director Clearing the Path for Patient Access | AbbVie,Main Content Area,Contains the primary content of the page.,M,1,May include dynamic content requiring structured markup.,https://www.abbvie.com/who-we-are/our-stories/day-in-life-meet-director-clearing-path-for-patient-access.html,main_content_area,Content area,Content validation for semantic HTML.,screenshots/blocks/main_content_area__default.png
They won’t back down | AbbVie,Story Highlight,Highlights a featured story with an image and description.,M,3,"Feature story with image and description, requiring moderate scope.",https://www.abbvie.com/who-we-are/our-stories/they-wont-back-down.html,story_highlight,Highlight,No matching catalog entry found.,screenshots/blocks/story_highlight__default.png
"Green chemistry: cleaner, faster chemical reactions | AbbVie",Main Article,"The primary content of the page, including text and images.",M,1,Content presentation with potential for dynamic updates.,https://www.abbvie.com/who-we-are/our-stories/green-chemistry-cleaner-faster-chemical-reactions.html,main_article,Content block,No exact match found in the AEM catalog.,screenshots/blocks/main_article__default.png
Lessons from a lifelong journey with psoriasis | AbbVie,Featured Story Card,Highlights a featured story with an image and description.,M,1,Includes image and text with potential interactive elements.,https://www.abbvie.com/who-we-are/our-stories/lessons-from-a-lifelong-journey-with-psoriasis.html,story_card,Story highlight,Ensure responsive design and compatibility.,screenshots/blocks/story_card__default.png
Lessons from a lifelong journey with psoriasis | AbbVie,Secondary Navigation,Provides additional navigation options within the Science section.,M,1,Additional navigation depth with dropdowns.,https://www.abbvie.com/who-we-are/our-stories/lessons-from-a-lifelong-journey-with-psoriasis.html,secondary_navigation,Section navigation,Ensure dropdown functionality and accessibility.,screenshots/blocks/secondary_navigation__default.png
Lessons from a lifelong journey with psoriasis | AbbVie,Science Section Introduction,Introduces the Science section with a brief paragraph.,S,1,Static content with no interactive elements.,https://www.abbvie.com/who-we-are/our-stories/lessons-from-a-lifelong-journey-with-psoriasis.html,science_intro,Introductory text,Verify text formatting and alignment.,screenshots/blocks/science_intro__default.png
Lessons from a lifelong journey with psoriasis | AbbVie,Science Call-to-Action,Encourages navigation to the Science page.,S,1,Single interactive button with basic styling.,https://www.abbvie.com/who-we-are/our-stories/lessons-from-a-lifelong-journey-with-psoriasis.html,science_cta_button,Navigation button,Ensure button is styled and accessible.,screenshots/blocks/science_cta_button__default.png
Lessons from a lifelong journey with psoriasis | AbbVie,Science Related Links,Displays links related to the Science section.,S,1,Static list with no interactivity.,https://www.abbvie.com/who-we-are/our-stories/lessons-from-a-lifelong-journey-with-psoriasis.html,science_link_list,Link group,Ensure links are descriptive and accessible.,screenshots/blocks/science_link_list__default.png
Lessons from a lifelong journey with psoriasis | AbbVie,Science Story Card,Highlights a story related to Science with an image and description.,M,2,Includes image and text with potential interactive elements.,https://www.abbvie.com/who-we-are/our-stories/lessons-from-a-lifelong-journey-with-psoriasis.html,science_story_card,Story highlight,Ensure responsive design and compatibility.,screenshots/blocks/science_story_card__default.png
