Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
How EMRELIS Works - EMRELIS™ HCP,Accordion Transcript,Expandable section for detailed transcript information.,M,1,Interactive accordion functionality with transitions.,https://www.emrelishcp.com/about-emrelis,accordion_transcript,Transcript accordion,Mapped to catalog entry 'Accordion'.,screenshots/blocks/accordion_transcript__default.png
EMRELIS™ (telisotuzumab-vedotin) - Official HCP Site,Global Utility Strip,"Provides quick access to utility links such as Important Safety Information, Prescribing Information, and Patient Website.",M,1,Includes multiple utility links requiring consistent styling and accessibility.,https://www.emrelishcp.com/,global_utility_strip,Utility strip,Custom implementation likely.,screenshots/blocks/global_utility_strip__default.png
EMRELIS™ (telisotuzumab-vedotin) - Official HCP Site,Primary Header,"Contains the main branding and navigation elements, including the logo and primary navigation menu.",C,1,Deep navigation structure with branding and multiple interaction points.,https://www.emrelishcp.com/,primary_header,Main navigation,Requires testing for responsive behavior.,screenshots/blocks/primary_header__default.png
EMRELIS™ (telisotuzumab-vedotin) - Official HCP Site,Call-to-Action Section,Encourages user interaction with buttons leading to further information or actions.,M,1,Requires proper styling and alignment for interactive elements.,https://www.emrelishcp.com/,cta_section,CTA buttons,Focus on accessibility for buttons.,screenshots/blocks/cta_section__default.png
EMRELIS™ (telisotuzumab-vedotin) - Official HCP Site,Important Safety Information,Displays critical safety information about the product.,M,1,Includes legal and compliance requirements for presentation.,https://www.emrelishcp.com/,important_safety_info,Safety disclaimer,Legal content requires strict adherence to guidelines.,screenshots/blocks/important_safety_info__default.png
EMRELIS™ (telisotuzumab-vedotin) - Official HCP Site,Footer,Contains footer information and links for site navigation and legal disclaimers.,S,4,Basic footer with links and minimal styling.,https://www.emrelishcp.com/,footer,Footer,Ensure proper link accessibility.,screenshots/blocks/footer__default.png
Contact an AbbVie EMRELIS Representative - EMRELIS™ HCP,Main Content Introduction,"Provides an introduction and context for the page's purpose, including a headline and descriptive text.",S,1,Text-based content without interactive elements.,https://www.emrelishcp.com/contact-a-rep,main_content_intro,Introductory text,No direct match in catalog.,screenshots/blocks/main_content_intro__default.png
Contact an AbbVie EMRELIS Representative - EMRELIS™ HCP,Contact Form,Interactive form for users to request a representative.,C,1,"Includes form validation, submission handling, and potential integrations.",https://www.emrelishcp.com/contact-a-rep,contact_form,Form,Matched to catalog entry for Form block.,screenshots/blocks/contact_form__default.png
Contact an AbbVie EMRELIS Representative - EMRELIS™ HCP,Safety Information,"Detailed safety information about the product, including warnings and precautions.",M,1,Contains formatted text and potentially expandable sections.,https://www.emrelishcp.com/contact-a-rep,safety_information,Safety details,No direct match in catalog.,screenshots/blocks/safety_information__default.png
Contact an AbbVie EMRELIS Representative - EMRELIS™ HCP,References Section,Lists references and citations for the information provided on the page.,S,5,Static list of references without dynamic functionality.,https://www.emrelishcp.com/contact-a-rep,references_section,References list,No direct match in catalog.,screenshots/blocks/references_section__default.png
Contact an AbbVie EMRELIS Representative - EMRELIS™ HCP,Footer Links,Footer section with links to additional resources and legal information.,S,5,Simple footer with static links.,https://www.emrelishcp.com/contact-a-rep,footer_links,Footer navigation,Matched to catalog entry for Footer block.,screenshots/blocks/footer_links__default.png
Safety &amp; Tolerability Profile - EMRELIS™ HCP,Utility Navigation,Provides quick access to links like safety information and prescribing details.,M,6,Includes accessibility features for navigation and external/internal link handling.,https://www.emrelishcp.com/safety,global_utility_navigation,Utility strip,Could be mapped to a similar catalog item if available.,screenshots/blocks/global_utility_navigation__default.png
Safety &amp; Tolerability Profile - EMRELIS™ HCP,Introductory Prose,Provides an introductory description about the safety profile.,S,1,Basic text content with simple formatting.,https://www.emrelishcp.com/safety,intro_prose,Intro text,No direct catalog match found.,screenshots/blocks/intro_prose__default.png
Safety &amp; Tolerability Profile - EMRELIS™ HCP,Detailed Prose,Offers detailed information about adverse reactions and safety data.,M,1,Requires structured formatting and possibly links for references.,https://www.emrelishcp.com/safety,detailed_prose,Detailed text,No direct catalog match found.,screenshots/blocks/detailed_prose__default.png
Safety &amp; Tolerability Profile - EMRELIS™ HCP,Adverse Reaction Chart,Displays adverse reactions visually.,C,1,Involves graphical representation and data integration.,https://www.emrelishcp.com/safety,adverse_reaction_chart,Chart,No direct catalog match found.,screenshots/blocks/adverse_reaction_chart__default.png
Safety &amp; Tolerability Profile - EMRELIS™ HCP,Adverse Reactions Accordion,Expandable sections detailing specific adverse reactions.,M,2,Interactive UI component with accessibility considerations.,https://www.emrelishcp.com/safety,accordion_adverse_reactions,Accordion,Mapped directly to catalog.,screenshots/blocks/accordion_adverse_reactions__default.png
EMRELIS Support &amp; Resources - EMRELIS™ HCP,Support Brochures,Features downloadable brochures for patient education.,S,1,Static content with download links.,https://www.emrelishcp.com/support#howtoordermetihctesting,support_brochures,Brochure download,"No exact catalog match, simple implementation.",screenshots/blocks/support_brochures__default.png
EMRELIS Support &amp; Resources - EMRELIS™ HCP,How to Order,Information on ordering EMRELIS.,S,1,Static content with contact details.,https://www.emrelishcp.com/support#howtoordermetihctesting,how_to_order,Order instructions,"No exact catalog match, straightforward content.",screenshots/blocks/how_to_order__default.png
Search Results,Search Results,Displays the search results content and related functionalities.,C,1,Search functionality with dynamic results display.,https://www.emrelishcp.com/search-results,search_results,Search results display,Mapped to 'Search' in catalog.,screenshots/blocks/search_results__default.png
Efficacy &amp; Duration of Response - EMRELIS™ HCP,Efficacy Highlight,Section showcasing efficacy details with supporting text and visual charts.,M,1,Includes data visualization and content organization.,https://www.emrelishcp.com/efficacy/efficacy,efficacy_highlight,Content highlight,Consider accessibility for charts and graphs.,screenshots/blocks/efficacy_highlight__default.png
Efficacy &amp; Duration of Response - EMRELIS™ HCP,Response Duration,Section detailing the duration of response with visual timelines and supporting information.,M,1,Involves timeline visualization and detailed content.,https://www.emrelishcp.com/efficacy/efficacy,response_duration,Timeline,Ensure timeline visualization is accessible and responsive.,screenshots/blocks/response_duration__default.png
Adverse Reaction Management - EMRELIS™ HCP,Dosage Chart,Illustrates dosage adjustments for managing adverse reactions.,M,1,Includes interactive or visual content.,https://www.emrelishcp.com/dosing/adverse-reaction,image_text_dosage_chart,Image-text chart,No exact match in AEM catalog.,screenshots/blocks/image_text_dosage_chart__default.png
Emrelis Study Design &amp; Patient Characteristics - EMRELIS™ HCP,Study Design Overview,Overview of the study design with text and visuals.,M,1,Includes detailed content and visual elements.,https://www.emrelishcp.com/efficacy/study-design,study_design_overview,Content overview,No direct match in the AEM catalog.,screenshots/blocks/study_design_overview__default.png
Emrelis Study Design &amp; Patient Characteristics - EMRELIS™ HCP,Baseline Characteristics,Displays demographic and clinical data.,M,1,Requires structured data presentation.,https://www.emrelishcp.com/efficacy/study-design,baseline_characteristics,Data display,No direct match in the AEM catalog.,screenshots/blocks/baseline_characteristics__default.png
EMRELIS Dosing &amp; Administration - EMRELIS™ HCP,Dosing Schedule Section,Details the EMRELIS dosing schedule and administration guidelines.,M,1,Content-heavy section with potential tabular data.,https://www.emrelishcp.com/dosing,dosing_schedule_section,Content section,Ensure proper formatting for medical guidelines.,screenshots/blocks/dosing_schedule_section__default.png
Sitemap for EMRELIS™ (telisotuzumab-vedotin) HCP,Sitemap Overview,Displays an overview of the sitemap with categorized links to various sections.,M,1,Requires structured layout and link management.,https://www.emrelishcp.com/sitemap,sitemap_overview,Sitemap block,No exact match in catalog.,screenshots/blocks/sitemap_overview__default.png
