Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
Jeffrey R. Stewart | AbbVie,Main Content,Contains the primary content of the leadership profile.,M,1,Primary content often requires custom styling and layout adjustments.,https://www.abbvie.com/who-we-are/our-leaders/jeffrey-stewart.html,main_content,Content section,No direct match found; may need custom implementation or further catalog search.
Tracie Haas | AbbVie,Global Navigation,Provides site-wide navigation and access to major sections of the website.,M,1,Includes multiple navigation layers and accessibility considerations.,https://www.abbvie.com/who-we-are/our-leaders/tracie-haas.html,global_navigation,Site-wide navigation,This block is essential for user orientation and site navigation.
Tracie Haas | AbbVie,Primary Content Area,"Displays the main content of the page, including details about Tracie Haas.",S,1,Single content region focused on static information.,https://www.abbvie.com/who-we-are/our-leaders/tracie-haas.html,primary_content,Leadership Profile Content,"Central focus of the page, typically static and informational."
Tracie Haas | AbbVie,Related Links Section,Provides links to related content or additional resources.,S,1,Straightforward list of links with minor styling.,https://www.abbvie.com/who-we-are/our-leaders/tracie-haas.html,related_links,Supplementary navigation,Enhances user navigation by suggesting related resources.
Jason Smith | AbbVie,Global Header,Provides navigation and branding elements for the website.,M,1,Includes navigation elements and branding which require styling and accessibility compliance.,https://www.abbvie.com/who-we-are/our-leaders/jason-smith.html,global_header,Primary navigation,Maps directly to the 'Header' block in the catalog.
Jason Smith | AbbVie,Hero Section,Displays a prominent hero image and title for the page.,M,1,Requires layout and styling to accommodate large images and titles.,https://www.abbvie.com/who-we-are/our-leaders/jason-smith.html,hero_section,Hero image with title,Maps directly to the 'Hero' block in the catalog.
Robert A. Michael | AbbVie,Primary Navigation,Provides site-wide navigation links for users to explore different sections.,M,1,Navigation involves multiple layers and dynamic elements.,https://www.abbvie.com/who-we-are/our-leaders/robert-michael.html,primary_navigation,Main navigation,No exact match found in the AEM blocks catalog.
Join AbbVie | AbbVie,Global Utility Bar,Provides top-level utility links for the website.,S,1,Limited scope with static links and minimal interactivity.,https://www.abbvie.com/join-us.html,header_utility_strip,Utility strip,Consider mapping to a catalog block if a suitable match is identified later.
Join AbbVie | AbbVie,Primary Navigation,"Serves as the main navigation for the website, including branding and IA.",M,1,Involves dynamic elements like mega-menus or responsive behavior.,https://www.abbvie.com/join-us.html,header_primary_navigation,Main navigation,Ensure accessibility and responsiveness during implementation.
Join AbbVie | AbbVie,Site Search,Provides a search interface for the website.,M,1,Requires search functionality and potential integration with backend services.,https://www.abbvie.com/join-us.html,site_search,Search form,Implement with focus on usability and performance.
Join AbbVie | AbbVie,Cookie Preferences,Manages user consent for cookies and privacy settings.,C,1,Involves compliance with privacy laws and integration with external systems like OneTrust.,https://www.abbvie.com/join-us.html,cookie_preferences_entry,Cookie preferences,Ensure compliance with regional regulations and accessibility standards.
Allergan HCP/HCP disclosure outside of the US | AbbVie,Global Header,Primary header with logo and main navigation.,M,1,Includes dynamic navigation and logo rendering.,https://www.abbvie.com/who-we-are/operating-with-integrity/transparency-in-payment/allergan-ous-disclosures.html,global_header,Main navigation,Uses CSS and JS for layout and functionality.
Allergan HCP/HCP disclosure outside of the US | AbbVie,Hero Section,Prominent image and introductory content.,M,1,Requires responsive design and styling.,https://www.abbvie.com/who-we-are/operating-with-integrity/transparency-in-payment/allergan-ous-disclosures.html,hero_section,Hero banner,Includes CSS and JS for positioning and styling.
Allergan HCP/HCP disclosure outside of the US | AbbVie,Main Navigation,Site navigation menu with dropdowns.,C,1,Complex navigation structure with dropdowns.,https://www.abbvie.com/who-we-are/operating-with-integrity/transparency-in-payment/allergan-ous-disclosures.html,main_navigation,Dropdown navigation,Not mapped to a known AEM block.
Allergan HCP/HCP disclosure outside of the US | AbbVie,Content Introduction,Introductory text and links overview.,S,1,Simple text and links rendering.,https://www.abbvie.com/who-we-are/operating-with-integrity/transparency-in-payment/allergan-ous-disclosures.html,content_intro,Text introduction,Not mapped to a known AEM block.
Allergan HCP/HCP disclosure outside of the US | AbbVie,Card Grid,Grid of cards showcasing articles or sections.,M,1,Requires responsive grid layout and styling.,https://www.abbvie.com/who-we-are/operating-with-integrity/transparency-in-payment/allergan-ous-disclosures.html,card_grid,Card display,Uses CSS and JS for grid responsiveness and styling.
"Nicholas Donoghoe, M.D. | AbbVie",Primary Navigation,Provides site-wide navigation to key sections.,M,1,Medium complexity due to hierarchical structure and potential accessibility requirements.,https://www.abbvie.com/who-we-are/our-leaders/nicholas-donoghoe.html,primary_navigation,Main navigation,Ensure alignment with accessibility standards and responsive design.
Jerome Bouyer | AbbVie,Utility Strip,Provides quick access links for contact and subscription services.,S,1,Simple links with basic styling and no advanced interactivity.,https://www.abbvie.com/who-we-are/our-leaders/jerome-bouyer.html,global_utility_strip,Utility strip,No direct match found in the AEM catalog; consider custom implementation or further refinement.
Jerome Bouyer | AbbVie,Primary Navigation,Main site navigation with dropdowns for section access.,M,1,Dropdown menus and hierarchical structure increase complexity.,https://www.abbvie.com/who-we-are/our-leaders/jerome-bouyer.html,primary_navigation,Main navigation,No direct match found in the AEM catalog; may require custom navigation block implementation.
Contact Center | AbbVie,Global Utility Strip,"Contains quick access links for contact, subscription, and group sites.",M,1,Includes multiple interactive elements for accessibility.,https://www.abbvie.com/contact-center.html,global_utility_strip,Utility strip,No direct match in the AEM catalog.
Contact Center | AbbVie,Primary Navigation,Main site navigation with links to major sections.,C,1,Deep navigation structure with potential dropdowns.,https://www.abbvie.com/contact-center.html,primary_navigation,Main navigation,No direct match in the AEM catalog.
Contact Center | AbbVie,Hero Section,Prominent image and heading to introduce the page.,M,1,Includes large image and heading with CSS positioning.,https://www.abbvie.com/contact-center.html,hero_section,Hero layout,Matched to 'Hero' in the AEM catalog.
Contact Center | AbbVie,Card Grid,Displays content in a card-like format with images and text.,M,1,Utilizes grid layout for responsiveness and styling.,https://www.abbvie.com/contact-center.html,card_grid,Card collection,Matched to 'Cards' in the AEM catalog.
Contact Center | AbbVie,Content Columns,Organizes text and images into multiple columns for readability.,S,1,Basic multi-column layout.,https://www.abbvie.com/contact-center.html,content_columns,Text and image columns,No direct match in the AEM catalog.
"Roopal Thakkar, M.D. | AbbVie",Primary Navigation,Provides main navigation menu for the site.,M,1,Navigation structures often include accessibility considerations and dynamic elements.,https://www.abbvie.com/who-we-are/our-leaders/roopal-thakkar.html,primary_navigation,Main navigation,No direct match found in the AEM catalog.
"Roopal Thakkar, M.D. | AbbVie",Leader Biography,Displays detailed biography of a leader.,M,1,Content presentation with potential dynamic loading or formatting.,https://www.abbvie.com/who-we-are/our-leaders/roopal-thakkar.html,leader_bio,Detailed biography,No direct match found in the AEM catalog.
"Roopal Thakkar, M.D. | AbbVie",Related Links,Provides links to related sections and additional information.,S,1,Simple list of links with minimal interaction.,https://www.abbvie.com/who-we-are/our-leaders/roopal-thakkar.html,related_links,Links section,No direct match found in the AEM catalog.
"Equity, Equality, Diversity &amp; Inclusion | AbbVie",Global Utility Strip,"Provides quick access to contact, subscription, and group sites.",S,1,Simple navigation element with minimal interactivity.,https://www.abbvie.com/who-we-are/our-principles/equity-equality-inclusion-diversity.html,global_utility_strip,Utility strip,No direct match in AEM catalog.
"Equity, Equality, Diversity &amp; Inclusion | AbbVie",Primary Navigation,Main site navigation with dropdown menus for sections.,M,1,Dropdown functionality and accessibility considerations.,https://www.abbvie.com/who-we-are/our-principles/equity-equality-inclusion-diversity.html,primary_navigation,Main navigation,No direct match in AEM catalog.
"Equity, Equality, Diversity &amp; Inclusion | AbbVie",Main Content Introduction,Introduction text and links about the organization's mission.,S,1,Static content with simple layout.,https://www.abbvie.com/who-we-are/our-principles/equity-equality-inclusion-diversity.html,main_content_intro,Introductory content,No direct match in AEM catalog.
"Equity, Equality, Diversity &amp; Inclusion | AbbVie",CTA Button Section,Call-to-action button for navigating to the 'Who We Are' page.,S,1,Single button with straightforward functionality.,https://www.abbvie.com/who-we-are/our-principles/equity-equality-inclusion-diversity.html,cta_button_section,Call-to-action,No direct match in AEM catalog.
"Equity, Equality, Diversity &amp; Inclusion | AbbVie",Link List Section,List of related links for further exploration.,S,1,Static list of links with basic styling.,https://www.abbvie.com/who-we-are/our-principles/equity-equality-inclusion-diversity.html,link_list_section,Link list,No direct match in AEM catalog.
"Equity, Equality, Diversity &amp; Inclusion | AbbVie",Featured Story Card,"Highlighted story with an image, title, and description.",M,1,Card layout with image and textual content.,https://www.abbvie.com/who-we-are/our-principles/equity-equality-inclusion-diversity.html,featured_story_card,Story card,Matched to 'Cards' in AEM catalog.
"Equity, Equality, Diversity &amp; Inclusion | AbbVie",Recognition Dashboard Card,Displays recognition statistics and achievements.,M,1,Dynamic content with potential data integration.,https://www.abbvie.com/who-we-are/our-principles/equity-equality-inclusion-diversity.html,dashboard_card_recognition,Dashboard card,No direct match in AEM catalog.
"Equity, Equality, Diversity &amp; Inclusion | AbbVie",Back to Top Button,Button for navigating back to the top of the page.,S,1,Simple functionality with limited scope.,https://www.abbvie.com/who-we-are/our-principles/equity-equality-inclusion-diversity.html,back_to_top_button,Navigation button,No direct match in AEM catalog.
Partner with Us | AbbVie,Utility Bar,Provides top-level utility links such as contact and language options.,S,1,Relatively simple structure with limited interactivity.,https://www.abbvie.com/science/partner-with-us.html,header_utility_strip,Utility strip,No direct match in AEM blocks catalog.
Partner with Us | AbbVie,Primary Navigation,Displays main site navigation and branding elements.,M,1,Includes primary navigation and potential for complex menu structures.,https://www.abbvie.com/science/partner-with-us.html,header_primary_navigation,Main navigation,No direct match in AEM blocks catalog.
Partner with Us | AbbVie,Search Bar,Enables users to search site content.,S,1,Simple search form with limited interactivity.,https://www.abbvie.com/science/partner-with-us.html,site_search,Search,No direct match in AEM blocks catalog.
Partner with Us | AbbVie,Cookie Preferences,Manages user consent for cookies and privacy settings.,M,1,Requires integration with cookie management platforms.,https://www.abbvie.com/science/partner-with-us.html,cookie_preferences_entry,Cookie preferences,No direct match in AEM blocks catalog.
Protecting Human Rights and Workplace Safety | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Simple navigation links with limited interactivity.,https://www.abbvie.com/who-we-are/operating-with-integrity/protecting-human-rights-and-workplace-safety.html,global_utility_strip,Utility strip,No matching block type found in the AEM catalog.
Protecting Human Rights and Workplace Safety | AbbVie,Primary Navigation,Main site navigation with dropdown menus for exploring site sections.,M,1,Dropdown functionality requires moderate implementation effort.,https://www.abbvie.com/who-we-are/operating-with-integrity/protecting-human-rights-and-workplace-safety.html,primary_navigation,Main navigation,No matching block type found in the AEM catalog.
Protecting Human Rights and Workplace Safety | AbbVie,Hero Section,Large visual section introducing the page with key messaging.,M,1,Hero sections often involve dynamic content and responsive design.,https://www.abbvie.com/who-we-are/operating-with-integrity/protecting-human-rights-and-workplace-safety.html,hero_section,Hero layout,Mapped to 'Hero' block type from the AEM catalog.
Protecting Human Rights and Workplace Safety | AbbVie,Content Introduction,Introductory text and links providing an overview of the page content.,S,1,Static text content with minimal interactivity.,https://www.abbvie.com/who-we-are/operating-with-integrity/protecting-human-rights-and-workplace-safety.html,content_intro,Introductory content,No matching block type found in the AEM catalog.
Protecting Human Rights and Workplace Safety | AbbVie,CTA Button,Call-to-action button encouraging user interaction.,S,1,Basic button functionality with minimal styling.,https://www.abbvie.com/who-we-are/operating-with-integrity/protecting-human-rights-and-workplace-safety.html,cta_button,Interactive button,No matching block type found in the AEM catalog.
Protecting Human Rights and Workplace Safety | AbbVie,Link List,List of links to related content or external resources.,S,1,"Static list of links, simple implementation.",https://www.abbvie.com/who-we-are/operating-with-integrity/protecting-human-rights-and-workplace-safety.html,link_list,Link collection,No matching block type found in the AEM catalog.
Protecting Human Rights and Workplace Safety | AbbVie,Card Grid,Grid of cards showcasing featured stories or highlights.,M,1,Responsive grid layout with interactive elements.,https://www.abbvie.com/who-we-are/operating-with-integrity/protecting-human-rights-and-workplace-safety.html,card_grid,Card layout,Mapped to 'Cards' block type from the AEM catalog.
Nisha Burns | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Minimal complexity due to its static nature and limited functionality.,https://www.abbvie.com/who-we-are/our-leaders/nisha-patel-burns.html,global_utility_strip,Utility strip,May require minor adjustments for accessibility and responsiveness.
Nisha Burns | AbbVie,Primary Navigation,Main site navigation with dropdown menus for exploring sections.,C,1,High complexity due to potential deep navigation structure and dropdown interactions.,https://www.abbvie.com/who-we-are/our-leaders/nisha-patel-burns.html,primary_navigation,Main navigation,Ensure compatibility with accessibility standards and mobile usability.
Our R&amp;D Approach | AbbVie,Utility Navigation Strip,"Provides quick access to contact, subscription, and group sites.",S,1,"Basic navigation links, minimal interactivity.",https://www.abbvie.com/science.html,global_utility_strip,Utility strip,Common for accessibility enhancements.
Our R&amp;D Approach | AbbVie,Primary Site Navigation,"Main navigation for site sections, typically includes dropdowns.",M,1,Dropdown menus add interactivity and complexity.,https://www.abbvie.com/science.html,primary_navigation,Main navigation,Ensure responsive design and keyboard accessibility.
Our R&amp;D Approach | AbbVie,Main Call-to-Action,Central area for key actions or promotions.,M,1,May include dynamic buttons or links.,https://www.abbvie.com/science.html,main_cta_section,Subscribe,Focus on engaging user actions.
Our R&amp;D Approach | AbbVie,Featured Stories Display,Grid layout for showcasing stories with visuals.,M,1,Visual elements and layout adjustments required.,https://www.abbvie.com/science.html,featured_stories_grid,Content grid,Prioritize image loading optimization.
Our R&amp;D Approach | AbbVie,Statistics Showcase,Displays key metrics in an engaging format.,M,1,Requires visual design for data representation.,https://www.abbvie.com/science.html,statistics_highlights,Dashboard,Consider dynamic data integration.
Scott T. Reents | AbbVie,Primary Navigation,"Serves as the primary navigation menu for the website, providing access to main sections and pages.",M,1,This block likely involves hierarchical navigation and accessibility considerations.,https://www.abbvie.com/who-we-are/our-leaders/scott-reents.html,primary_navigation,Main navigation,No exact match found in the AEM catalog for 'Primary Navigation'. It may require a custom implementation or further clarification.
Positions &amp; Views | AbbVie,Global Utility Strip,Provides quick access to global utilities like contact and subscribe.,S,1,Simple utility navigation bar with minimal interactive elements.,https://www.abbvie.com/who-we-are/our-principles/positions-views.html,global_utility_strip,Utility strip,No exact match found in AEM catalog.
Positions &amp; Views | AbbVie,Primary Navigation,Main site navigation with mega-menu capabilities.,C,1,Complex navigation structure with dropdowns and potential accessibility requirements.,https://www.abbvie.com/who-we-are/our-principles/positions-views.html,primary_navigation,Main navigation,No exact match found in AEM catalog.
Positions &amp; Views | AbbVie,Hero Section,Main visual and introductory content for the page.,M,1,Requires responsive design and potential dynamic content.,https://www.abbvie.com/who-we-are/our-principles/positions-views.html,hero_section,Hero banner,Mapped to 'Hero' in AEM catalog.
Positions &amp; Views | AbbVie,Content Columns,Organizes content into structured columns for readability.,S,1,Static layout with basic styling requirements.,https://www.abbvie.com/who-we-are/our-principles/positions-views.html,content_columns,Content layout,No exact match found in AEM catalog.
Positions &amp; Views | AbbVie,Card Grid,Displays a grid of cards featuring images and text.,M,1,Requires grid layout and potential interactivity for cards.,https://www.abbvie.com/who-we-are/our-principles/positions-views.html,card_grid,Card layout,Mapped to 'Cards' in AEM catalog.
Positions &amp; Views | AbbVie,Back to Top Button,Quick navigation to the top of the page.,S,1,Simple button functionality with minimal styling.,https://www.abbvie.com/who-we-are/our-principles/positions-views.html,back_to_top,Utility button,No exact match found in AEM catalog.
Jag Dosanjh | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group sites.",S,1,Basic utility strip with limited interactions.,https://www.abbvie.com/who-we-are/our-leaders/jag-dosanjh.html,global_utility_strip,Utility strip,No exact match found in the AEM catalog.
Jag Dosanjh | AbbVie,Primary Navigation,Main site navigation with dropdown menus for sections.,C,1,Complex navigation with dropdowns requiring accessibility and responsiveness.,https://www.abbvie.com/who-we-are/our-leaders/jag-dosanjh.html,primary_navigation,Main navigation,No exact match found in the AEM catalog.
Jag Dosanjh | AbbVie,Footer Navigation,Footer with site-wide links and information.,M,1,Footer with styling and possible dynamic content.,https://www.abbvie.com/who-we-are/our-leaders/jag-dosanjh.html,footer_navigation,Footer navigation,Mapped to 'Footer' in the AEM catalog.
Perry C. Siatis | AbbVie,Primary Navigation,Provides the main navigation menu for the website.,M,1,Includes accessibility features and multi-level navigation.,https://www.abbvie.com/who-we-are/our-leaders/perry-siatis.html,primary_navigation,Main navigation,No exact match found in the AEM catalog.
Perry C. Siatis | AbbVie,Hero Section,Displays a prominent section with a large image and headline.,M,1,Requires CSS and JS for styling and functionality.,https://www.abbvie.com/who-we-are/our-leaders/perry-siatis.html,hero_section,Hero banner,Mapped to the Hero block in the AEM catalog.
Perry C. Siatis | AbbVie,Footer,Displays footer content with navigation and legal information.,M,1,Includes styling and often dynamic content.,https://www.abbvie.com/who-we-are/our-leaders/perry-siatis.html,footer,Standard footer,Mapped to the Footer block in the AEM catalog.
Perry C. Siatis | AbbVie,Back to Top Button,Provides a button to scroll back to the top of the page.,S,1,Simple functionality with minimal styling.,https://www.abbvie.com/who-we-are/our-leaders/perry-siatis.html,back_to_top,Scroll-up button,No exact match found in the AEM catalog.
"Azita Saleki-Gerhardt, Ph.D. | AbbVie",Primary Navigation,Provides access to major site sections.,M,1,Includes accessibility considerations and deep menu structures.,https://www.abbvie.com/who-we-are/our-leaders/azita-saleki-gerhardt.html,primary_navigation,Main navigation,Ensure accessibility compliance and responsive design.
"Azita Saleki-Gerhardt, Ph.D. | AbbVie",Hero Section,Prominent section showcasing main content or message.,M,1,Requires responsive design and dynamic content handling.,https://www.abbvie.com/who-we-are/our-leaders/azita-saleki-gerhardt.html,hero_section,Hero banner,Focus on visual impact and dynamic content.
"Azita Saleki-Gerhardt, Ph.D. | AbbVie",Leadership Profile,Detailed profile of a leader including their role and achievements.,C,1,Involves detailed content structure and potential integration with dynamic data sources.,https://www.abbvie.com/who-we-are/our-leaders/azita-saleki-gerhardt.html,leadership_profile,Profile card,Ensure data accuracy and integration with backend systems.
"Azita Saleki-Gerhardt, Ph.D. | AbbVie",Back to Top Button,Allows users to quickly return to the top of the page.,S,1,Simple functionality with minimal interaction.,https://www.abbvie.com/who-we-are/our-leaders/azita-saleki-gerhardt.html,back_to_top_button,Utility button,Focus on performance and accessibility.
Our Principles | AbbVie,Utility Navigation,"Provides quick access to site-wide utilities such as contact links, subscriptions, and group site navigation.",S,1,Simple navigation structure with minimal depth.,https://www.abbvie.com/who-we-are/our-principles.html,global_utility_strip,Utility strip,May require minor adjustments for accessibility compliance.
Our Principles | AbbVie,Main Navigation,"Serves as the primary navigational structure, including dropdown menus for main content sections.",C,1,Complex hierarchical navigation with multiple levels and dropdown interactions.,https://www.abbvie.com/who-we-are/our-principles.html,primary_navigation,Main navigation,Ensure robust support for keyboard navigation and screen readers.
Our Principles | AbbVie,CTA Grid,Displays a grid layout with call-to-action links directing users to key pages and sections.,M,1,Moderate complexity due to layout and responsive design considerations.,https://www.abbvie.com/who-we-are/our-principles.html,cta_grid,Grid layout,May require optimization for mobile and tablet views.
AbbVie Inquiry | AbbVie,Global Utility Strip,"Provides quick access to global utilities like contact, subscribe, and group sites.",S,1,Simple navigation bar with basic links.,https://www.abbvie.com/who-we-are/operating-with-integrity/transparency-in-payment/abbvie-inquiry.html,global_utility_strip,Utility strip,No exact match found in the AEM catalog.
AbbVie Inquiry | AbbVie,Primary Navigation,Main navigation menu for accessing major site sections.,M,1,Deep navigation structure with potential dropdowns.,https://www.abbvie.com/who-we-are/operating-with-integrity/transparency-in-payment/abbvie-inquiry.html,primary_navigation,Main navigation,No exact match found in the AEM catalog.
AbbVie Inquiry | AbbVie,Hero Section,Prominent introductory section with a large image and heading.,M,1,Includes image and text alignment with potential dynamic content.,https://www.abbvie.com/who-we-are/operating-with-integrity/transparency-in-payment/abbvie-inquiry.html,hero_section,Hero,Mapped to Hero from AEM catalog.
AbbVie Inquiry | AbbVie,Content Card Grid,Displays a grid of content cards with images and text.,M,1,Grid layout with responsive design and multimedia elements.,https://www.abbvie.com/who-we-are/operating-with-integrity/transparency-in-payment/abbvie-inquiry.html,content_card_grid,Card grid,Mapped to Cards from AEM catalog.
Accessibility Statement | AbbVie,Global Navigation,Provides primary navigation for site-wide access.,M,1,Requires integration with site-wide navigation functionality and accessibility compliance.,https://www.abbvie.com/accessibility-statement.html,global_navigation,Main navigation,No direct match in the AEM catalog.
Accessibility Statement | AbbVie,Hero Section,Highlights key information at the top of the page with a large image and heading.,M,1,Includes styling and scripting for visual prominence.,https://www.abbvie.com/accessibility-statement.html,hero_section,Hero banner,Mapped to Hero block in AEM catalog.
Accessibility Statement | AbbVie,Main Content,Contains the primary textual content of the accessibility statement.,S,1,Primarily static content with minimal interactive features.,https://www.abbvie.com/accessibility-statement.html,main_content,Static content,No direct match in the AEM catalog.
Dave Purdue | AbbVie,Global Navigation,"Provides primary navigation for the website, including main sections and submenus.",M,1,Navigation systems typically involve hierarchical structures and accessibility considerations.,https://www.abbvie.com/who-we-are/our-leaders/dave-purdue.html,global_navigation,Primary navigation,No exact catalog match found for this block.
Dave Purdue | AbbVie,Hero Section,Highlights the primary focus of the page with a prominent image and heading.,S,1,This block focuses on visual presentation with minimal interaction.,https://www.abbvie.com/who-we-are/our-leaders/dave-purdue.html,hero_section,Hero image with heading,Mapped to the Hero block from the Adobe AEM catalog.
Linda Ray | AbbVie,Global Utility Strip,"Provides links for quick access to contact, subscribe, and group site features.",M,1,Includes multiple interactive elements and links requiring accessibility considerations.,https://www.abbvie.com/who-we-are/our-leaders/linda-ray.html,global_utility_strip,Utility strip,No matching catalog entry found for this block.
Linda Ray | AbbVie,Primary Navigation,Contains the main navigation menu and branding logo.,C,1,Involves deep navigation structure and branding integration.,https://www.abbvie.com/who-we-are/our-leaders/linda-ray.html,primary_navigation,Main navigation,No matching catalog entry found for this block.
Magnified featuring Jonathon Sedgwick | AbbVie,Global Utility Strip,"Provides quick access to contact, subscription, and group site links.",S,1,Straightforward implementation providing utility links.,https://www.abbvie.com/who-we-are/our-stories/magnified-featuring-jonathon-sedgwick.html,global_utility_strip,Utility strip,No direct mapping found in the AEM catalog.
