Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks,screenshot path
Sitemap,Hero Section,"Displays the main title of the page, 'Sitemap'.",S,3,Static text display with minimal interactivity.,https://www.latestagensclc.com/sitemap,hero_section,Hero,No direct match in catalog.,screenshots/blocks/hero_section__default.png
Sitemap,Sitemap Links,Lists links to various sections of the site in a sitemap format.,M,1,Contains multiple links requiring proper semantic structuring for accessibility.,https://www.latestagensclc.com/sitemap,sitemap_links,Links list,No direct match in catalog.,screenshots/blocks/sitemap_links__default.png
Sitemap,Footer Main,Contains primary footer navigation links.,M,3,Includes navigation links and styling adjustments.,https://www.latestagensclc.com/sitemap,footer_main,Primary footer,Matched with 'Footer' in catalog.,screenshots/blocks/footer_main__default.png
Sitemap,Footer Secondary,Contains secondary footer navigation links and legal information.,M,1,Includes legal links and requires styling for compliance.,https://www.latestagensclc.com/sitemap,footer_secondary,Secondary footer,Matched with 'Footer' in catalog.,screenshots/blocks/footer_secondary__default.png
Sitemap,Back to Top Button,Button to quickly navigate to the top of the page.,S,3,Simple scroll functionality with minimal interaction.,https://www.latestagensclc.com/sitemap,back_to_top,Utility button,No direct match in catalog.,screenshots/blocks/back_to_top__default.png
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,Primary Header Navigation,Displays the main logo and primary navigation links.,M,3,"Includes logo, navigation, and accessibility features.",https://www.latestagensclc.com/,primary_header,Main navigation,Mapped to 'Header' based on navigation functionality.,screenshots/blocks/primary_header__default.png
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,Biomarker Guide CTA,Encourages access to the Biomarker Conversation Guide.,S,1,Simple call-to-action with minimal interactivity.,https://www.latestagensclc.com/,cta_biomarker_guide,CTA button,No direct match found in catalog.,screenshots/blocks/cta_biomarker_guide__default.png
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,Stay Informed CTA,Promotes staying informed about biomarkers.,S,1,Simple call-to-action with minimal interactivity.,https://www.latestagensclc.com/,cta_stay_informed,CTA button,No direct match found in catalog.,screenshots/blocks/cta_stay_informed__default.png
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,Testing Matters CTA,Highlights the importance of biomarker testing.,S,1,Simple call-to-action with minimal interactivity.,https://www.latestagensclc.com/,cta_testing_matters,CTA button,No direct match found in catalog.,screenshots/blocks/cta_testing_matters__default.png
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,Advancements in NSCLC CTA,Provides information about advancements in late-stage NSCLC.,S,1,Simple call-to-action with minimal interactivity.,https://www.latestagensclc.com/,cta_advancements_nsclc,CTA button,No direct match found in catalog.,screenshots/blocks/cta_advancements_nsclc__default.png
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,About Biomarkers CTA,Offers quick facts about biomarkers.,S,1,Simple call-to-action with minimal interactivity.,https://www.latestagensclc.com/,cta_about_biomarkers,CTA button,No direct match found in catalog.,screenshots/blocks/cta_about_biomarkers__default.png
Facing Late-Stage Lung Cancer: Understanding NSCLC &amp; Biomarkers,Back to Top Button,Allows users to navigate back to the top of the page.,S,1,Basic functionality with minimal design complexity.,https://www.latestagensclc.com/,back_to_top_button,Utility button,No direct match found in catalog.,screenshots/blocks/back_to_top_button__default.png
Non-Small Cell Lung Cancer Resources &amp; Biomarker Education,Hero Banner,Main visual and textual introduction to page content.,M,1,Key visual element with textual content.,https://www.latestagensclc.com/sign-up,hero_banner,Hero section,No catalog match found.,screenshots/blocks/hero_banner__default.png
Non-Small Cell Lung Cancer Resources &amp; Biomarker Education,Signup Form,Form for users to sign up for resources and updates.,C,1,"Involves form handling, submission, and confirmation.",https://www.latestagensclc.com/sign-up,signup_form,Interactive form,Matched to 'Form' in catalog.,screenshots/blocks/signup_form__default.png
Biomarker Conversation Guide,Main Navigation,Facilitates site navigation across major sections.,M,1,"Structured navigation with menu items, medium complexity.",https://www.latestagensclc.com/conversation-guide,main_navigation,Primary navigation,No direct match in the AEM catalog.,screenshots/blocks/main_navigation__default.png
Biomarker Conversation Guide,Main Content,"Hosts the central content of the page, including forms and guides.",C,1,Complex due to forms and potential dynamic content.,https://www.latestagensclc.com/conversation-guide,main_content,Content area,No direct match in the AEM catalog.,screenshots/blocks/main_content__default.png
Biomarker Conversation Guide,Footer,Displays footer content with links and legal information.,S,1,"Straightforward footer implementation, low complexity.",https://www.latestagensclc.com/conversation-guide,footer,Footer,Direct match found in the AEM catalog.,screenshots/blocks/footer__default.png
